market,metric,group,bin,ticker_count
us,low_price_ratio,all,0%,0
us,low_price_ratio,all,"(0,10%]",0
us,low_price_ratio,all,"(10%,25%]",0
us,low_price_ratio,all,"(25%,50%]",0
us,low_price_ratio,all,"(50%,75%]",0
us,low_price_ratio,all,"(75%,100%]",0
us,low_price_ratio,kept,0%,0
us,low_price_ratio,kept,"(0,10%]",0
us,low_price_ratio,kept,"(10%,25%]",0
us,low_price_ratio,kept,"(25%,50%]",0
us,low_price_ratio,kept,"(50%,75%]",0
us,low_price_ratio,kept,"(75%,100%]",0
us,low_price_ratio,filtered_low_price,0%,0
us,low_price_ratio,filtered_low_price,"(0,10%]",0
us,low_price_ratio,filtered_low_price,"(10%,25%]",0
us,low_price_ratio,filtered_low_price,"(25%,50%]",0
us,low_price_ratio,filtered_low_price,"(50%,75%]",0
us,low_price_ratio,filtered_low_price,"(75%,100%]",0
ca,low_price_ratio,all,0%,0
ca,low_price_ratio,all,"(0,10%]",0
ca,low_price_ratio,all,"(10%,25%]",0
ca,low_price_ratio,all,"(25%,50%]",0
ca,low_price_ratio,all,"(50%,75%]",0
ca,low_price_ratio,all,"(75%,100%]",0
ca,low_price_ratio,kept,0%,0
ca,low_price_ratio,kept,"(0,10%]",0
ca,low_price_ratio,kept,"(10%,25%]",0
ca,low_price_ratio,kept,"(25%,50%]",0
ca,low_price_ratio,kept,"(50%,75%]",0
ca,low_price_ratio,kept,"(75%,100%]",0
ca,low_price_ratio,filtered_low_price,0%,0
ca,low_price_ratio,filtered_low_price,"(0,10%]",0
ca,low_price_ratio,filtered_low_price,"(10%,25%]",0
ca,low_price_ratio,filtered_low_price,"(25%,50%]",0
ca,low_price_ratio,filtered_low_price,"(50%,75%]",0
ca,low_price_ratio,filtered_low_price,"(75%,100%]",0
uk,low_price_ratio,all,0%,0
uk,low_price_ratio,all,"(0,10%]",0
uk,low_price_ratio,all,"(10%,25%]",0
uk,low_price_ratio,all,"(25%,50%]",0
uk,low_price_ratio,all,"(50%,75%]",0
uk,low_price_ratio,all,"(75%,100%]",0
uk,low_price_ratio,kept,0%,0
uk,low_price_ratio,kept,"(0,10%]",0
uk,low_price_ratio,kept,"(10%,25%]",0
uk,low_price_ratio,kept,"(25%,50%]",0
uk,low_price_ratio,kept,"(50%,75%]",0
uk,low_price_ratio,kept,"(75%,100%]",0
uk,low_price_ratio,filtered_low_price,0%,0
uk,low_price_ratio,filtered_low_price,"(0,10%]",0
uk,low_price_ratio,filtered_low_price,"(10%,25%]",0
uk,low_price_ratio,filtered_low_price,"(25%,50%]",0
uk,low_price_ratio,filtered_low_price,"(50%,75%]",0
uk,low_price_ratio,filtered_low_price,"(75%,100%]",0
hk,low_price_ratio,all,0%,0
hk,low_price_ratio,all,"(0,10%]",0
hk,low_price_ratio,all,"(10%,25%]",0
hk,low_price_ratio,all,"(25%,50%]",0
hk,low_price_ratio,all,"(50%,75%]",0
hk,low_price_ratio,all,"(75%,100%]",0
hk,low_price_ratio,kept,0%,0
hk,low_price_ratio,kept,"(0,10%]",0
hk,low_price_ratio,kept,"(10%,25%]",0
hk,low_price_ratio,kept,"(25%,50%]",0
hk,low_price_ratio,kept,"(50%,75%]",0
hk,low_price_ratio,kept,"(75%,100%]",0
hk,low_price_ratio,filtered_low_price,0%,0
hk,low_price_ratio,filtered_low_price,"(0,10%]",0
hk,low_price_ratio,filtered_low_price,"(10%,25%]",0
hk,low_price_ratio,filtered_low_price,"(25%,50%]",0
hk,low_price_ratio,filtered_low_price,"(50%,75%]",0
hk,low_price_ratio,filtered_low_price,"(75%,100%]",0
au,low_price_ratio,all,0%,0
au,low_price_ratio,all,"(0,10%]",0
au,low_price_ratio,all,"(10%,25%]",0
au,low_price_ratio,all,"(25%,50%]",0
au,low_price_ratio,all,"(50%,75%]",0
au,low_price_ratio,all,"(75%,100%]",0
au,low_price_ratio,kept,0%,0
au,low_price_ratio,kept,"(0,10%]",0
au,low_price_ratio,kept,"(10%,25%]",0
au,low_price_ratio,kept,"(25%,50%]",0
au,low_price_ratio,kept,"(50%,75%]",0
au,low_price_ratio,kept,"(75%,100%]",0
au,low_price_ratio,filtered_low_price,0%,0
au,low_price_ratio,filtered_low_price,"(0,10%]",0
au,low_price_ratio,filtered_low_price,"(10%,25%]",0
au,low_price_ratio,filtered_low_price,"(25%,50%]",0
au,low_price_ratio,filtered_low_price,"(50%,75%]",0
au,low_price_ratio,filtered_low_price,"(75%,100%]",0
jp,low_price_ratio,all,0%,0
jp,low_price_ratio,all,"(0,10%]",0
jp,low_price_ratio,all,"(10%,25%]",0
jp,low_price_ratio,all,"(25%,50%]",0
jp,low_price_ratio,all,"(50%,75%]",0
jp,low_price_ratio,all,"(75%,100%]",0
jp,low_price_ratio,kept,0%,0
jp,low_price_ratio,kept,"(0,10%]",0
jp,low_price_ratio,kept,"(10%,25%]",0
jp,low_price_ratio,kept,"(25%,50%]",0
jp,low_price_ratio,kept,"(50%,75%]",0
jp,low_price_ratio,kept,"(75%,100%]",0
jp,low_price_ratio,filtered_low_price,0%,0
jp,low_price_ratio,filtered_low_price,"(0,10%]",0
jp,low_price_ratio,filtered_low_price,"(10%,25%]",0
jp,low_price_ratio,filtered_low_price,"(25%,50%]",0
