rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,abs_gap_ge_10_days,abs_gap_ge_20_days,abs_gap_ge_30_days,abs_ret_ge_10_days,range_ge_10_days
1,10,AU,2025,ERA.AX,253,1.0,0.0024999999441206,131,67,36,113,218
2,10,AU,2025,PIL.AX,253,1.0,0.003000000026077,101,50,16,103,131
3,10,AU,2025,TMK.AX,253,1.0,0.1374990046024322,101,79,32,86,157
4,10,AU,2025,RGL.AX,253,1.0,0.0040000001899898,97,30,8,102,155
5,10,AU,2025,TMX.AX,253,1.0,0.003000000026077,92,41,16,96,118
6,10,AU,2025,VRC.AX,253,1.0,0.0044999998062849,90,20,3,102,135
7,10,AU,2025,RDN.AX,253,1.0,0.0049999998882412,89,38,1,98,178
8,10,AU,2025,BNL.AX,253,1.0,0.006000000052154,87,15,0,112,187
9,10,AU,2025,VEN.AX,253,1.0,0.0040000001899898,86,31,4,96,124
10,10,AU,2025,MEM.AX,253,1.0,0.0049999998882412,85,25,6,93,105
1,10,CA,2025,MTLO.V,251,1.0,0.0099999997764825,107,106,104,82,110
2,10,CA,2025,PPR.TO,251,0.6772908366533864,0.8999999761581421,104,14,0,73,166
3,10,CA,2025,ACU.V,251,1.0,0.0149999996647238,101,97,69,90,107
4,10,CA,2025,CSTR.V,251,1.0,0.0149999996647238,100,96,63,90,185
5,10,CA,2025,EW.V,251,1.0,0.1599999964237213,99,6,1,98,105
6,10,CA,2025,SAE.V,251,1.0,0.0350000001490116,98,2,0,98,130
7,10,CA,2025,TRU.V,251,1.0,0.025000000372529,89,52,17,86,82
8,10,CA,2025,KS.V,251,1.0,0.25,89,38,9,84,135
9,10,CA,2025,AAZ.V,251,1.0,0.1199999973177909,88,77,23,96,193
10,10,CA,2025,GT.V,251,1.0,0.0299999993294477,87,24,0,85,149
1,10,CN,2025,688585.SS,243,0.0,7.996177673339844,14,6,0,31,38
2,10,CN,2025,002969.SZ,243,0.9547325102880658,3.489593029022217,10,0,0,12,4
3,10,CN,2025,605255.SS,243,0.0,20.573204040527344,10,0,0,18,27
4,10,CN,2025,300344.SZ,243,0.5020576131687243,4.96999979019165,9,2,0,33,62
5,10,CN,2025,001331.SZ,243,0.0,10.33571434020996,9,0,0,11,9
6,10,CN,2025,605398.SS,243,0.0,30.440000534057617,9,0,0,17,19
7,10,CN,2025,002691.SZ,243,0.0329218106995884,8.430000305175781,7,0,0,16,26
8,10,CN,2025,603177.SS,243,0.0,9.230000495910645,7,0,0,9,13
9,10,CN,2025,002910.SZ,243,0.0,9.600000381469728,7,0,0,15,22
10,10,CN,2025,300561.SZ,243,0.0,15.489999771118164,7,2,0,16,29
1,10,FR,2025,ALIBR.PA,255,1.0,0.0003000000142492,101,99,68,93,222
2,10,FR,2025,ALBOO.PA,255,0.0,12.0,95,46,39,104,224
3,10,FR,2025,MLSEQ.PA,255,1.0,0.0070000002160668,80,34,14,81,25
4,10,FR,2025,MLFTI.PA,255,1.0,0.0299999993294477,76,23,11,73,31
5,10,FR,2025,MLCOT.PA,255,1.0,0.125,73,47,32,77,20
6,10,FR,2025,ALALO.PA,255,0.7137254901960784,0.6000000238418579,67,48,37,107,233
7,10,FR,2025,MLSML.PA,255,1.0,0.0189999993890523,62,40,20,58,34
8,10,FR,2025,ALVER.PA,255,0.196078431372549,3.8000009059906006,62,17,9,66,187
9,10,FR,2025,MLOCT.PA,255,1.0,0.1949999928474426,59,22,8,54,14
10,10,FR,2025,MLWEY.PA,255,1.0,0.0149999996647238,57,45,23,65,22
1,10,HK,2025,8286.HK,246,1.0,0.1080000028014183,42,7,4,47,31
2,10,HK,2025,8280.HK,246,1.0,0.061999998986721,39,12,4,50,69
3,10,HK,2025,8249.HK,246,1.0,0.1420000046491623,38,8,2,28,53
4,10,HK,2025,9689.HK,246,1.0,0.3400000035762787,37,5,0,28,70
5,10,HK,2025,0379.HK,246,1.0,0.0750000029802322,36,3,0,46,95
6,10,HK,2025,2363.HK,246,1.0,0.3449999988079071,36,12,1,34,19
7,10,HK,2025,0859.HK,246,1.0,0.1099999994039535,35,5,1,31,21
8,10,HK,2025,0185.HK,246,1.0,0.1154999993741511,35,6,1,45,54
9,10,HK,2025,1005.HK,246,1.0,0.498913049697876,35,8,2,30,9
10,10,HK,2025,8418.HK,246,1.0,0.4550000131130218,34,1,0,26,133
1,10,JP,2025,8918.T,243,1.0,9.0,106,0,0,77,243
2,10,JP,2025,5721.T,243,0.382716049382716,122.0,22,8,2,57,110
3,10,JP,2025,8105.T,243,0.5925925925925926,54.0,19,9,4,46,78
4,10,JP,2025,3350.T,243,0.0,506.0,18,3,0,44,72
5,10,JP,2025,6574.T,243,0.5761316872427984,81.19999694824219,17,9,1,37,72
6,10,JP,2025,4570.T,243,0.0,492.0,16,4,0,25,26
7,10,JP,2025,3905.T,243,0.0,1816.0,16,4,0,41,87
8,10,JP,2025,4889.T,243,0.0,1765.0,15,3,0,37,78
9,10,JP,2025,7138.T,243,0.0,154.0,14,6,3,31,52
10,10,JP,2025,4316.T,243,0.0,449.0,14,3,0,26,60
1,10,KR,2025,012210.KQ,241,0.0,4110.0,52,1,1,34,82
2,10,KR,2025,042940.KQ,239,0.0,10680.0,17,10,0,33,69
3,10,KR,2025,008500.KS,241,0.0,2264.578369140625,12,8,1,19,29
4,10,KR,2025,435570.KQ,203,0.0,13010.0,12,4,2,26,55
5,10,KR,2025,448900.KQ,241,0.0,19080.0,12,1,0,28,81
6,10,KR,2025,288330.KQ,240,0.2416666666666666,2185.0,11,8,1,31,84
7,10,KR,2025,200230.KQ,242,0.1239669421487603,1318.3333129882812,11,7,0,18,40
8,10,KR,2025,308100.KQ,240,0.0,1994.6666870117188,11,6,0,25,74
9,10,KR,2025,152550.KS,242,1.0,249.0,10,2,0,8,20
10,10,KR,2025,054180.KQ,241,0.0,2293.85302734375,10,4,0,21,49
1,10,TH,2025,STOWER.BK,242,1.0,0.0399999991059303,102,77,11,97,237
2,10,TH,2025,EVER.BK,242,1.0,0.0599999986588954,92,14,0,87,221
3,10,TH,2025,KC.BK,242,1.0,0.0399999991059303,90,63,33,92,202
4,10,TH,2025,EMC.BK,242,1.0,0.050000000745058,87,46,7,71,236
5,10,TH,2025,TGPRO.BK,242,1.0,0.0599999986588954,86,8,0,92,238
6,10,TH,2025,NATION.BK,242,1.0,0.0299999993294477,83,83,66,85,231
7,10,TH,2025,PRIME.BK,242,1.0,0.0799999982118606,81,5,0,95,237
8,10,TH,2025,GEL.BK,242,1.0,0.0399999991059303,79,59,14,80,229
9,10,TH,2025,GRAND.BK,242,1.0,0.0399999991059303,79,74,17,88,221
10,10,TH,2025,CIG.BK,242,1.0,0.0399999991059303,78,76,35,80,230
1,10,TW,2025,8291.TWO,242,0.9958677685950412,17.907405853271484,9,0,0,7,23
2,10,TW,2025,4804.TWO,242,1.0,6.260000228881836,5,0,0,3,11
3,10,TW,2025,6103.TWO,242,0.0,46.24404144287109,5,0,0,3,6
4,10,TW,2025,4406.TWO,242,1.0,9.9399995803833,4,0,0,4,2
5,10,TW,2025,2924.TWO,242,0.7396694214876033,28.799999237060547,4,1,0,3,5
6,10,TW,2025,2380.TW,242,1.0,4.484999895095825,3,0,0,4,8
7,10,TW,2025,4806.TWO,242,1.0,17.780000686645508,3,0,0,3,16
8,10,TW,2025,5543.TWO,242,1.0,20.39999961853028,3,0,0,2,13
9,10,TW,2025,7780.TW,243,0.9794238683127572,15.407329559326172,3,2,1,11,13
10,10,TW,2025,2465.TW,242,0.0,61.54999923706055,3,0,0,2,7
1,10,UK,2025,PYX.L,253,0.5691699604743083,0.699999988079071,140,31,8,62,139
2,10,UK,2025,PRM.L,253,0.0,3.049999952316284,122,25,2,22,142
3,10,UK,2025,NOG.L,253,0.0,3.490000009536743,102,8,0,20,170
4,10,UK,2025,MTC.L,253,0.0,2.869999885559082,100,6,2,25,173
5,10,UK,2025,ETL.L,253,0.0,4.264999866485596,80,73,67,2,18
6,10,UK,2025,PACS.L,253,1.0,0.5490000247955322,72,7,1,11,22
7,10,UK,2025,UKR.L,253,0.0592885375494071,5.0,58,19,6,20,11
8,10,UK,2025,HKLD.L,253,0.0,7.365503787994385,53,12,6,0,0
9,10,UK,2025,SYME.L,252,1.0,0.003000000026077,51,46,18,33,125
10,10,UK,2025,ALNA.L,253,0.1027667984189723,7.5,39,8,8,9,8
1,10,US,2025,RNWWW,250,1.0,0.1169999986886978,93,34,11,90,141
2,10,US,2025,LUCYW,250,1.0,0.0799999982118606,92,51,14,93,110
3,10,US,2025,MYSEW,250,1.0,0.2189999967813491,88,44,19,101,122
4,10,US,2025,NTRBW,250,0.0,1.7949999570846558,79,30,8,73,84
5,10,US,2025,TLSIW,250,0.04,1.399999976158142,74,19,5,67,104
6,10,US,2025,MYPSW,250,1.0,0.0160000007599592,73,40,23,85,104
7,10,US,2025,WALDW,250,1.0,0.0700000002980232,73,39,9,73,111
8,10,US,2025,CCGWW,250,1.0,0.0294999992474913,72,29,10,76,91
9,10,US,2025,MNYWW,250,1.0,0.0509999990463256,70,19,4,81,148
10,10,US,2025,SEATW,250,1.0,0.1609999984502792,66,31,11,70,87
1,20,AU,2025,SFG.AX,253,1.0,0.0020000000949949,84,79,62,96,75
2,20,AU,2025,TMK.AX,253,1.0,0.1374990046024322,101,79,32,86,157
3,20,AU,2025,ERA.AX,253,1.0,0.0024999999441206,131,67,36,113,218
4,20,AU,2025,PRX.AX,253,1.0,0.0399999991059303,65,57,25,55,69
5,20,AU,2025,HLX.AX,253,1.0,0.0020000000949949,76,56,37,83,74
6,20,AU,2025,GGE.AX,253,1.0,0.0020000000949949,66,54,30,62,61
7,20,AU,2025,SRN.AX,253,1.0,0.0020000000949949,78,52,39,70,95
8,20,AU,2025,BP8.AX,199,1.0,0.0020000000949949,55,51,42,58,53
9,20,AU,2025,PIL.AX,253,1.0,0.003000000026077,101,50,16,103,131
