rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,abs_ret_ge_10_days,abs_ret_ge_20_days,abs_ret_ge_30_days,abs_gap_ge_10_days,range_ge_10_days
1,10,AU,2025,ROG.AX,253,1.0,0.0049999998882412,122,49,11,81,169
2,10,AU,2025,ERA.AX,253,1.0,0.0024999999441206,113,74,24,131,218
3,10,AU,2025,BNL.AX,253,1.0,0.006000000052154,112,32,9,87,187
4,10,AU,2025,ALM.AX,253,1.0,0.0049999998882412,105,39,12,82,123
5,10,AU,2025,ARV.AX,253,1.0,0.0080000003799796,104,11,3,77,191
6,10,AU,2025,PIL.AX,253,1.0,0.003000000026077,103,51,18,101,131
7,10,AU,2025,RGL.AX,253,1.0,0.0040000001899898,102,24,10,97,155
8,10,AU,2025,VRC.AX,253,1.0,0.0044999998062849,102,28,6,90,135
9,10,AU,2025,AVE.AX,253,1.0,0.0054999999701976,102,21,4,71,149
10,10,AU,2025,SPX.AX,253,1.0,0.0070000002160668,102,22,8,82,160
1,10,CA,2025,CELL.V,251,1.0,0.0350000001490116,112,22,3,84,144
2,10,CA,2025,SAE.V,251,1.0,0.0350000001490116,98,3,3,98,130
3,10,CA,2025,EW.V,251,1.0,0.1599999964237213,98,8,1,99,105
4,10,CA,2025,AAZ.V,251,1.0,0.1199999973177909,96,83,27,88,193
5,10,CA,2025,QYOU.V,251,1.0,0.4199999868869781,92,8,6,85,148
6,10,CA,2025,ACU.V,251,1.0,0.0149999996647238,90,86,59,101,107
7,10,CA,2025,CSTR.V,251,1.0,0.0149999996647238,90,86,54,100,185
8,10,CA,2025,AISX.V,230,1.0,0.0299999993294477,90,33,9,81,135
9,10,CA,2025,ORCL.V,251,1.0,0.0299999993294477,88,39,13,78,131
10,10,CA,2025,VRR.V,251,1.0,0.25,88,41,11,85,87
1,10,CN,2025,300344.SZ,243,0.5020576131687243,4.96999979019165,33,6,0,9,62
2,10,CN,2025,688585.SS,243,0.0,7.996177673339844,31,9,0,14,38
3,10,CN,2025,301357.SZ,243,0.0,80.0,29,4,0,2,60
4,10,CN,2025,688205.SS,243,0.0,68.6466293334961,27,1,0,2,69
5,10,CN,2025,688313.SS,243,0.0,38.04999923706055,25,0,0,3,53
6,10,CN,2025,688228.SS,243,0.0,63.82939910888672,24,2,0,4,47
7,10,CN,2025,605188.SS,243,0.0,11.949999809265137,22,0,0,1,53
8,10,CN,2025,300300.SZ,243,0.588477366255144,4.800000190734863,21,3,0,2,48
9,10,CN,2025,600693.SS,243,0.0,6.3145928382873535,21,0,0,2,44
10,10,CN,2025,002471.SZ,243,0.7860082304526749,4.570000171661377,20,0,0,4,27
1,10,FR,2025,ALALO.PA,255,0.7137254901960784,0.6000000238418579,107,63,28,67,233
2,10,FR,2025,ALBOO.PA,255,0.0,12.0,104,43,27,95,224
3,10,FR,2025,ALNEV.PA,255,0.4235294117647059,2.200000047683716,94,23,9,36,227
4,10,FR,2025,ALIBR.PA,255,1.0,0.0003000000142492,93,92,58,101,222
5,10,FR,2025,MLSEQ.PA,255,1.0,0.0070000002160668,81,31,12,80,25
6,10,FR,2025,MLCOT.PA,255,1.0,0.125,77,46,33,73,20
7,10,FR,2025,MLFTI.PA,255,1.0,0.0299999993294477,73,23,8,76,31
8,10,FR,2025,ALCAB.PA,255,0.9333333333333332,0.0979999974370002,70,20,9,18,182
9,10,FR,2025,ALVER.PA,255,0.196078431372549,3.8000009059906006,66,32,13,62,187
10,10,FR,2025,MLWEY.PA,255,1.0,0.0149999996647238,65,51,30,57,22
1,10,HK,2025,1561.HK,246,1.0,0.0810000002384185,51,8,4,27,80
2,10,HK,2025,8280.HK,246,1.0,0.061999998986721,50,10,2,39,69
3,10,HK,2025,8286.HK,246,1.0,0.1080000028014183,47,17,6,42,31
4,10,HK,2025,0379.HK,246,1.0,0.0750000029802322,46,16,8,36,95
5,10,HK,2025,3302.HK,246,1.0,0.1309999972581863,46,11,4,17,86
6,10,HK,2025,0185.HK,246,1.0,0.1154999993741511,45,6,1,35,54
7,10,HK,2025,1228.HK,246,0.5934959349593496,0.4150000065565109,45,14,3,18,149
8,10,HK,2025,8535.HK,246,1.0,0.0970000028610229,43,16,4,18,70
9,10,HK,2025,8356.HK,246,1.0,0.5400000214576721,43,13,3,33,48
10,10,HK,2025,8082.HK,246,1.0,0.0700000002980232,42,8,4,13,81
1,10,JP,2025,8918.T,243,1.0,9.0,77,1,1,106,243
2,10,JP,2025,5721.T,243,0.382716049382716,122.0,57,21,8,22,110
3,10,JP,2025,2334.T,243,0.3621399176954732,236.0,47,6,1,12,110
4,10,JP,2025,8105.T,243,0.5925925925925926,54.0,46,12,6,19,78
5,10,JP,2025,3350.T,243,0.0,506.0,44,5,0,18,72
6,10,JP,2025,3905.T,243,0.0,1816.0,41,14,0,16,87
7,10,JP,2025,3823.T,243,0.6666666666666666,77.0,37,6,4,12,75
8,10,JP,2025,6574.T,243,0.5761316872427984,81.19999694824219,37,9,1,17,72
9,10,JP,2025,9399.T,243,0.3004115226337449,114.5,37,7,0,10,91
10,10,JP,2025,4889.T,243,0.0,1765.0,37,14,0,15,78
1,10,KR,2025,010770.KS,241,0.0,4446.658203125,35,13,3,6,77
2,10,KR,2025,069920.KQ,231,0.3376623376623376,1203.0,34,10,1,7,101
3,10,KR,2025,012210.KQ,241,0.0,4110.0,34,1,1,52,82
4,10,KR,2025,042940.KQ,239,0.0,10680.0,33,20,0,17,69
5,10,KR,2025,011080.KQ,242,0.5330578512396694,975.5,32,9,1,5,105
6,10,KR,2025,288330.KQ,240,0.2416666666666666,2185.0,31,16,1,11,84
7,10,KR,2025,210120.KQ,228,0.0,2637.5,30,8,1,6,103
8,10,KR,2025,093240.KS,241,0.0,2095.0,28,6,0,5,80
9,10,KR,2025,313760.KQ,242,0.0,3552.5,28,3,0,4,104
10,10,KR,2025,448900.KQ,241,0.0,19080.0,28,4,0,12,81
1,10,TH,2025,STOWER.BK,242,1.0,0.0399999991059303,97,71,18,102,237
2,10,TH,2025,PRIME.BK,242,1.0,0.0799999982118606,95,10,1,81,237
3,10,TH,2025,CHO.BK,242,1.0,0.0799999982118606,93,35,19,77,232
4,10,TH,2025,KC.BK,242,1.0,0.0399999991059303,92,63,34,90,202
5,10,TH,2025,TGPRO.BK,242,1.0,0.0599999986588954,92,5,1,86,238
6,10,TH,2025,GTV.BK,242,1.0,0.0799999982118606,91,22,5,62,211
7,10,TH,2025,GRAND.BK,242,1.0,0.0399999991059303,88,80,20,79,221
8,10,TH,2025,MORE.BK,242,1.0,0.0399999991059303,88,80,56,77,239
9,10,TH,2025,EVER.BK,242,1.0,0.0599999986588954,87,16,1,92,221
10,10,TH,2025,SDC.BK,242,1.0,0.034999999217689,86,86,34,72,242
1,10,TW,2025,6682.TWO,242,0.7231404958677686,13.924999713897703,30,9,4,0,79
2,10,TW,2025,6467.TWO,243,0.0,70.9000015258789,23,5,1,0,58
3,10,TW,2025,6820.TWO,242,0.0,98.57427215576172,22,7,2,0,73
4,10,TW,2025,7719.TWO,243,0.6090534979423868,25.950000762939453,19,4,0,0,45
5,10,TW,2025,7729.TWO,242,0.5950413223140496,23.75,19,1,0,1,39
6,10,TW,2025,4573.TWO,242,0.0,70.80000305175781,19,2,2,0,41
7,10,TW,2025,6977.TWO,242,0.0,80.49679946899414,18,3,1,1,40
8,10,TW,2025,7796.TWO,243,0.0,123.5,18,7,2,0,42
9,10,TW,2025,3585.TWO,242,1.0,7.019999980926514,17,4,2,1,44
10,10,TW,2025,5246.TWO,242,0.743801652892562,23.024999618530277,17,7,1,1,48
1,10,UK,2025,MET1.L,253,0.0,4.300000190734863,68,27,15,10,206
2,10,UK,2025,CPAI.L,253,0.2015810276679842,2.8499999046325684,67,20,13,12,208
3,10,UK,2025,PYX.L,253,0.5691699604743083,0.699999988079071,62,20,5,140,139
4,10,UK,2025,MIRI.L,253,1.0,0.0120000001043081,60,17,10,6,229
5,10,UK,2025,MAST.L,253,0.0,11.0,60,20,9,5,223
6,10,UK,2025,WSBN.L,253,0.0,35.0,57,19,8,4,165
7,10,UK,2025,EME.L,253,1.0,0.0700000002980232,55,18,9,8,211
8,10,UK,2025,ALRT.L,253,0.6719367588932806,0.395000010728836,55,22,6,7,184
9,10,UK,2025,SATS.L,253,0.4347826086956521,1.0549999475479126,52,16,7,31,159
10,10,UK,2025,MILA.L,253,0.7272727272727273,0.5600000023841858,51,13,6,5,164
1,10,US,2025,MYSEW,250,1.0,0.2189999967813491,101,46,20,88,122
2,10,US,2025,LUCYW,250,1.0,0.0799999982118606,93,44,19,92,110
3,10,US,2025,TMCWW,250,0.608,0.9115000069141388,93,17,8,39,218
4,10,US,2025,RNWWW,250,1.0,0.1169999986886978,90,39,19,93,141
5,10,US,2025,LIDRW,250,1.0,0.083500001579523,87,20,11,59,173
6,10,US,2025,MYPSW,250,1.0,0.0160000007599592,85,45,23,73,104
7,10,US,2025,SMX,250,0.0,1562.9713745117188,82,37,20,33,174
8,10,US,2025,MNYWW,250,1.0,0.0509999990463256,81,28,10,70,148
9,10,US,2025,IINNW,250,1.0,0.2800000011920929,79,30,10,52,107
10,10,US,2025,CCGWW,250,1.0,0.0294999992474913,76,31,11,72,91
1,20,AU,2025,SFG.AX,253,1.0,0.0020000000949949,96,91,57,84,75
2,20,AU,2025,ERA.AX,253,1.0,0.0024999999441206,113,74,24,131,218
3,20,AU,2025,TMK.AX,253,1.0,0.1374990046024322,86,63,20,101,157
4,20,AU,2025,HLX.AX,253,1.0,0.0020000000949949,83,58,38,76,74
5,20,AU,2025,MOM.AX,253,1.0,0.0015000000130385,57,53,42,53,50
6,20,AU,2025,1TT.AX,189,1.0,0.0199999995529651,70,53,34,61,52
7,20,AU,2025,PIL.AX,253,1.0,0.003000000026077,103,51,18,101,131
8,20,AU,2025,EDE.AX,253,1.0,0.0399999991059303,68,51,39,51,106
9,20,AU,2025,ROG.AX,253,1.0,0.0049999998882412,122,49,11,81,169
10,20,AU,2025,GGE.AX,253,1.0,0.0020000000949949,62,47,22,66,61
1,20,CA,2025,ACU.V,251,1.0,0.0149999996647238,90,86,59,101,107
2,20,CA,2025,CSTR.V,251,1.0,0.0149999996647238,90,86,54,100,185
3,20,CA,2025,AAZ.V,251,1.0,0.1199999973177909,96,83,27,88,193
4,20,CA,2025,MTLO.V,251,1.0,0.0099999997764825,82,78,76,107,110
5,20,CA,2025,PUL.V,251,1.0,0.0149999996647238,72,72,54,73,60
6,20,CA,2025,BARK.V,251,1.0,0.0450000017881393,73,72,51,76,49
7,20,CA,2025,MTX.V,251,1.0,0.0199999995529651,63,63,63,62,51
8,20,CA,2025,VRTS.TO,251,1.0,0.0199999995529651,71,63,19,79,84
9,20,CA,2025,MEK.V,251,1.0,0.0299999993294477,62,62,51,58,51
10,20,CA,2025,PER.V,251,1.0,0.0299999993294477,62,59,52,58,64
1,20,CN,2025,688585.SS,243,0.0,7.996177673339844,31,9,0,14,38
2,20,CN,2025,300344.SZ,243,0.5020576131687243,4.96999979019165,33,6,0,9,62
3,20,CN,2025,300963.SZ,243,0.0,19.170000076293945,15,6,0,1,53
4,20,CN,2025,300237.SZ,243,1.0,2.140000104904175,13,5,0,6,33
5,20,CN,2025,300810.SZ,243,0.0,38.7599983215332,12,5,0,3,33
6,20,CN,2025,301208.SZ,243,0.0,40.630001068115234,7,5,0,0,15
7,20,CN,2025,301000.SZ,243,0.0,43.36000061035156,14,5,0,1,29
8,20,CN,2025,688048.SS,243,0.0,62.36000061035156,16,5,0,2,37
9,20,CN,2025,300368.SZ,243,0.2757201646090535,11.010000228881836,16,4,0,0,38
10,20,CN,2025,688189.SS,243,0.0,7.989999771118164,11,4,0,1,24
1,20,FR,2025,ALIBR.PA,255,1.0,0.0003000000142492,93,92,58,101,222
2,20,FR,2025,ALALO.PA,255,0.7137254901960784,0.6000000238418579,107,63,28,67,233
3,20,FR,2025,MLWEY.PA,255,1.0,0.0149999996647238,65,51,30,57,22
4,20,FR,2025,MLCOT.PA,255,1.0,0.125,77,46,33,73,20
5,20,FR,2025,ALBOO.PA,255,0.0,12.0,104,43,27,95,224
