rank,market,year,symbol,n_days,penny_days,penny_day_ratio,min_close,median_close,mean_close,max_close,one_tick_ge_10_days,one_tick_ge_20_days,one_tick_ge_30_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days
1,AU,2025,ZNO.AX,253,253,1.0,0.0240000002086162,0.032999999821186,0.0401561269205313,0.1550000011920929,0,0,0,6,26,49
2,AU,2025,10X.AX,13,13,1.0,0.1700000017881393,0.1749999970197677,0.1776923090219497,0.1850000023841858,0,0,0,0,0,0
3,AU,2025,14D.AX,253,253,1.0,0.0160000007599592,0.0219999998807907,0.0246086955777269,0.0820000022649765,0,0,0,10,38,106
4,AU,2025,1AD.AX,253,253,1.0,0.0020000000949949,0.0035000001080334,0.0053031423530382,0.0151190003380179,210,172,120,63,74,87
5,AU,2025,1AE.AX,253,253,1.0,0.0350000001490116,0.0640000030398368,0.0672924901568606,0.1199999973177909,0,0,0,8,28,40
6,AU,2025,1AI.AX,222,222,1.0,0.0049999998882412,0.0070000002160668,0.0077815315421871,0.0170000009238719,190,46,0,35,68,91
7,AU,2025,1CG.AX,253,253,1.0,0.006000000052154,0.0099999997764825,0.0096126481588826,0.0135000003501772,178,0,0,56,80,75
8,AU,2025,1MC.AX,248,248,1.0,0.0140000004321336,0.0189999993890523,0.0233709676333912,0.0680000036954879,0,0,0,12,20,47
9,AU,2025,1TT.AX,189,189,1.0,0.0010000000474974,0.0199999995529651,0.0212883595013793,0.0799999982118606,87,70,54,61,70,52
10,AU,2025,29M.AX,253,253,1.0,0.1049999967217445,0.2750000059604645,0.2950592880015787,0.6000000238418579,0,0,0,3,17,40
1,CA,2025,ABI.V,251,251,1.0,0.050000000745058,0.0599999986588954,0.0660557769298315,0.1199999973177909,217,0,0,42,55,96
2,CA,2025,ZYUS.V,251,251,1.0,0.5899999737739563,0.7099999785423279,0.7320318696983307,0.9399999976158142,0,0,0,6,7,16
3,CA,2025,AAB.TO,251,251,1.0,0.0299999993294477,0.0299999993294477,0.0341035848950959,0.0399999991059303,251,251,148,46,39,30
