rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,range_ge_10_days,range_ge_20_days,range_ge_30_days,abs_gap_ge_10_days,abs_ret_ge_10_days
1,10,AU,2025,ERA.AX,253,1.0,0.0024999999441206,218,218,105,131,113
2,10,AU,2025,OVT.AX,253,1.0,0.006000000052154,193,97,41,74,92
3,10,AU,2025,FBR.AX,253,1.0,0.006000000052154,192,145,29,81,101
4,10,AU,2025,ARV.AX,253,1.0,0.0080000003799796,191,50,7,77,104
5,10,AU,2025,BNL.AX,253,1.0,0.006000000052154,187,84,22,87,112
6,10,AU,2025,RDN.AX,253,1.0,0.0049999998882412,178,96,13,89,98
7,10,AU,2025,ROG.AX,253,1.0,0.0049999998882412,169,108,25,81,122
8,10,AU,2025,ADG.AX,253,1.0,0.006000000052154,164,84,7,57,93
9,10,AU,2025,SPX.AX,253,1.0,0.0070000002160668,160,54,25,82,102
10,10,AU,2025,TMK.AX,253,1.0,0.1374990046024322,157,140,74,101,86
1,10,CA,2025,AAZ.V,251,1.0,0.1199999973177909,193,178,81,88,96
2,10,CA,2025,CSTR.V,251,1.0,0.0149999996647238,185,174,157,100,90
3,10,CA,2025,PPR.TO,251,0.6772908366533864,0.8999999761581421,166,50,12,104,73
4,10,CA,2025,SCD.V,251,1.0,0.0199999995529651,155,97,73,56,77
5,10,CA,2025,GT.V,251,1.0,0.0299999993294477,149,57,15,87,85
6,10,CA,2025,QYOU.V,251,1.0,0.4199999868869781,148,19,7,85,92
7,10,CA,2025,BABY.TO,251,1.0,0.2000000029802322,146,117,90,59,63
8,10,CA,2025,CELL.V,251,1.0,0.0350000001490116,144,56,23,84,112
9,10,CA,2025,FT.TO,251,1.0,0.0799999982118606,140,31,5,57,63
10,10,CA,2025,MATA.V,251,0.904382470119522,0.4250000119209289,138,40,15,8,56
1,10,CN,2025,688205.SS,243,0.0,68.6466293334961,69,5,0,2,27
2,10,CN,2025,300344.SZ,243,0.5020576131687243,4.96999979019165,62,15,0,9,33
3,10,CN,2025,301357.SZ,243,0.0,80.0,60,21,1,2,29
4,10,CN,2025,300204.SZ,243,0.0,30.1200008392334,59,8,0,0,18
5,10,CN,2025,605188.SS,243,0.0,11.949999809265137,53,1,0,1,22
6,10,CN,2025,300963.SZ,243,0.0,19.170000076293945,53,9,1,1,15
7,10,CN,2025,688313.SS,243,0.0,38.04999923706055,53,3,0,3,25
8,10,CN,2025,688195.SS,243,0.0,45.99015426635742,53,4,0,3,14
9,10,CN,2025,301225.SZ,243,0.0,79.17204284667969,53,7,0,2,16
10,10,CN,2025,300584.SZ,243,0.0,36.959999084472656,52,2,0,1,17
1,10,FR,2025,ALALO.PA,255,0.7137254901960784,0.6000000238418579,233,182,137,67,107
2,10,FR,2025,ALNEV.PA,255,0.4235294117647059,2.200000047683716,227,123,60,36,94
3,10,FR,2025,ALBOO.PA,255,0.0,12.0,224,168,138,95,104
4,10,FR,2025,ALIBR.PA,255,1.0,0.0003000000142492,222,217,181,101,93
5,10,FR,2025,ALVER.PA,255,0.196078431372549,3.8000009059906006,187,136,91,62,66
6,10,FR,2025,ALCAB.PA,255,0.9333333333333332,0.0979999974370002,182,95,52,18,70
7,10,FR,2025,ALSRS.PA,255,1.0,0.002600000007078,171,61,31,35,58
8,10,FR,2025,ALHPI.PA,255,1.0,0.0240000002086162,164,108,69,23,42
9,10,FR,2025,ALCBI.PA,255,0.9372549019607844,0.2090000063180923,162,68,31,8,64
10,10,FR,2025,ALEUP.PA,255,0.196078431372549,13.25,161,56,27,23,64
1,10,HK,2025,1228.HK,246,0.5934959349593496,0.4150000065565109,149,65,25,18,45
2,10,HK,2025,8418.HK,246,1.0,0.4550000131130218,133,39,15,34,26
3,10,HK,2025,8081.HK,246,1.0,0.0410000011324882,125,31,8,8,25
4,10,HK,2025,0139.HK,246,0.991869918699187,0.3559366464614868,120,28,8,1,28
5,10,HK,2025,6628.HK,246,0.1382113821138211,1.820000052452088,118,22,9,6,33
6,10,HK,2025,2738.HK,246,1.0,0.3050000071525574,117,30,11,13,17
7,10,HK,2025,0875.HK,246,0.6869918699186992,0.5949999988079071,112,35,15,14,28
8,10,HK,2025,0876.HK,246,1.0,0.0260000005364418,111,33,16,10,33
9,10,HK,2025,0269.HK,246,1.0,0.0099999997764825,108,29,3,9,20
10,10,HK,2025,2358.HK,246,1.0,0.0109999999403953,107,26,12,14,22
1,10,JP,2025,8918.T,243,1.0,9.0,243,8,4,106,77
2,10,JP,2025,5721.T,243,0.382716049382716,122.0,110,35,18,22,57
3,10,JP,2025,2334.T,243,0.3621399176954732,236.0,110,27,4,12,47
4,10,JP,2025,2134.T,243,0.9876543209876544,31.0,94,26,9,9,35
5,10,JP,2025,9399.T,243,0.3004115226337449,114.5,91,18,4,10,37
6,10,JP,2025,6993.T,243,0.9670781893004116,34.0,88,24,9,12,26
7,10,JP,2025,3905.T,243,0.0,1816.0,87,17,5,16,41
8,10,JP,2025,6740.T,243,1.0,19.0,81,2,1,2,8
9,10,JP,2025,9610.T,243,0.3209876543209876,125.0,80,32,16,7,27
10,10,JP,2025,8105.T,243,0.5925925925925926,54.0,78,24,6,19,46
1,10,KR,2025,011080.KQ,242,0.5330578512396694,975.5,105,36,10,5,32
2,10,KR,2025,313760.KQ,242,0.0,3552.5,104,17,4,4,28
3,10,KR,2025,210120.KQ,228,0.0,2637.5,103,29,9,6,30
4,10,KR,2025,069920.KQ,231,0.3376623376623376,1203.0,101,32,5,7,34
5,10,KR,2025,288330.KQ,240,0.2416666666666666,2185.0,84,17,2,11,31
6,10,KR,2025,012210.KQ,241,0.0,4110.0,82,38,14,52,34
7,10,KR,2025,448900.KQ,241,0.0,19080.0,81,24,7,12,28
8,10,KR,2025,093240.KS,241,0.0,2095.0,80,26,7,5,28
9,10,KR,2025,083660.KQ,242,0.640495867768595,842.5,78,21,5,1,20
10,10,KR,2025,192410.KQ,242,0.0,2707.0,78,28,9,4,25
1,10,TH,2025,SDC.BK,242,1.0,0.034999999217689,242,242,213,72,86
2,10,TH,2025,B.BK,242,1.0,0.0399999991059303,241,197,53,62,79
3,10,TH,2025,TWZ.BK,242,1.0,0.0299999993294477,240,240,240,41,53
4,10,TH,2025,MORE.BK,242,1.0,0.0399999991059303,239,230,146,77,88
5,10,TH,2025,TGPRO.BK,242,1.0,0.0599999986588954,238,36,16,86,92
6,10,TH,2025,STOWER.BK,242,1.0,0.0399999991059303,237,203,113,102,97
7,10,TH,2025,PRIME.BK,242,1.0,0.0799999982118606,237,61,22,81,95
8,10,TH,2025,EMC.BK,242,1.0,0.050000000745058,236,162,67,87,71
9,10,TH,2025,CHO.BK,242,1.0,0.0799999982118606,232,126,102,77,93
10,10,TH,2025,NATION.BK,242,1.0,0.0299999993294477,231,231,222,83,85
1,10,TW,2025,6682.TWO,242,0.7231404958677686,13.924999713897703,79,18,9,0,30
2,10,TW,2025,6820.TWO,242,0.0,98.57427215576172,73,11,4,0,22
3,10,TW,2025,6915.TWO,242,0.4917355371900826,30.0,60,9,4,1,15
4,10,TW,2025,6467.TWO,243,0.0,70.9000015258789,58,15,3,0,23
5,10,TW,2025,6812.TWO,242,0.0,56.5,53,11,2,2,13
6,10,TW,2025,6434.TWO,242,1.0,3.009999990463257,52,10,3,0,14
7,10,TW,2025,6793.TWO,242,1.0,7.28000020980835,49,13,4,1,14
8,10,TW,2025,5246.TWO,242,0.743801652892562,23.024999618530277,48,12,3,1,17
9,10,TW,2025,7759.TWO,204,0.0,74.80000305175781,46,15,6,0,11
10,10,TW,2025,3595.TWO,242,0.0,139.75,46,7,1,0,12
1,10,UK,2025,UFO.L,253,1.0,0.0949999988079071,230,90,15,6,39
2,10,UK,2025,MIRI.L,253,1.0,0.0120000001043081,229,132,51,6,60
3,10,UK,2025,RRR.L,253,1.0,0.0350000001490116,229,137,58,6,34
4,10,UK,2025,IMM.L,253,0.0,3.440000057220459,228,90,44,11,43
5,10,UK,2025,MAST.L,253,0.0,11.0,223,100,47,5,60
6,10,UK,2025,AMGO.L,253,1.0,0.324999988079071,220,171,121,11,38
7,10,UK,2025,ORCP.L,253,1.0,0.0170000009238719,218,119,52,17,47
8,10,UK,2025,TRC.L,253,1.0,0.25,217,137,63,6,25
9,10,UK,2025,BMV.L,253,0.7391304347826086,0.6499999761581421,213,89,31,10,48
10,10,UK,2025,EME.L,253,1.0,0.0700000002980232,211,105,51,8,55
1,10,US,2025,TMCWW,250,0.608,0.9115000069141388,218,98,36,39,93
2,10,US,2025,STEX,250,0.232,4.184999942779541,197,59,20,5,54
3,10,US,2025,VELO,250,0.0,6.322499990463257,193,78,39,20,65
4,10,US,2025,ABVE,250,0.368,1.4950000047683716,192,82,38,22,73
5,10,US,2025,SLNH,250,0.504,0.9900000095367432,186,73,25,11,67
6,10,US,2025,USBC,249,0.4899598393574297,1.0499999523162842,185,85,41,20,69
7,10,US,2025,NUAI,250,0.464,1.3799999952316284,183,74,33,24,67
8,10,US,2025,AIIO,250,0.544,0.7674999833106995,182,69,32,12,67
9,10,US,2025,TNMG,250,0.0,9.0,180,73,35,21,61
10,10,US,2025,IPST,250,0.0,10.789999961853027,180,57,24,11,51
1,20,AU,2025,ERA.AX,253,1.0,0.0024999999441206,218,218,105,131,113
2,20,AU,2025,FBR.AX,253,1.0,0.006000000052154,192,145,29,81,101
3,20,AU,2025,TMK.AX,253,1.0,0.1374990046024322,157,140,74,101,86
4,20,AU,2025,ROG.AX,253,1.0,0.0049999998882412,169,108,25,81,122
5,20,AU,2025,VML.AX,253,1.0,0.1500000059604644,144,107,75,47,66
6,20,AU,2025,OVT.AX,253,1.0,0.006000000052154,193,97,41,74,92
7,20,AU,2025,RDN.AX,253,1.0,0.0049999998882412,178,96,13,89,98
8,20,AU,2025,PIL.AX,253,1.0,0.003000000026077,131,95,42,101,103
9,20,AU,2025,JAV.AX,253,1.0,0.0930000022053718,113,94,51,68,72
10,20,AU,2025,VEN.AX,253,1.0,0.0040000001899898,124,89,26,86,96
1,20,CA,2025,AAZ.V,251,1.0,0.1199999973177909,193,178,81,88,96
2,20,CA,2025,CSTR.V,251,1.0,0.0149999996647238,185,174,157,100,90
3,20,CA,2025,BABY.TO,251,1.0,0.2000000029802322,146,117,90,59,63
4,20,CA,2025,KS.V,251,1.0,0.25,135,110,35,89,84
5,20,CA,2025,MTLO.V,251,1.0,0.0099999997764825,110,108,107,107,82
6,20,CA,2025,ACU.V,251,1.0,0.0149999996647238,107,105,96,101,90
7,20,CA,2025,SCD.V,251,1.0,0.0199999995529651,155,97,73,56,77
8,20,CA,2025,AVL.TO,251,1.0,0.0399999991059303,117,79,62,43,52
9,20,CA,2025,ILC.V,251,1.0,0.0149999996647238,95,77,69,85,74
10,20,CA,2025,FG.V,251,1.0,0.0199999995529651,93,75,55,75,69
1,20,CN,2025,301357.SZ,243,0.0,80.0,60,21,1,2,29
2,20,CN,2025,300344.SZ,243,0.5020576131687243,4.96999979019165,62,15,0,9,33
3,20,CN,2025,300300.SZ,243,0.588477366255144,4.800000190734863,48,11,0,2,21
4,20,CN,2025,300368.SZ,243,0.2757201646090535,11.010000228881836,38,10,0,0,16
5,20,CN,2025,300963.SZ,243,0.0,19.170000076293945,53,9,1,1,15
6,20,CN,2025,301292.SZ,243,0.0,19.600000381469727,49,9,0,1,20
7,20,CN,2025,300472.SZ,243,0.3415637860082304,6.460000038146973,36,8,1,4,19
8,20,CN,2025,301256.SZ,243,0.0,10.740074157714844,37,8,0,0,10
9,20,CN,2025,300421.SZ,243,0.0,15.84000015258789,34,8,0,1,13
10,20,CN,2025,300204.SZ,243,0.0,30.1200008392334,59,8,0,0,18
1,20,FR,2025,ALIBR.PA,255,1.0,0.0003000000142492,222,217,181,101,93
2,20,FR,2025,ALALO.PA,255,0.7137254901960784,0.6000000238418579,233,182,137,67,107
3,20,FR,2025,ALBOO.PA,255,0.0,12.0,224,168,138,95,104
4,20,FR,2025,ALVER.PA,255,0.196078431372549,3.8000009059906006,187,136,91,62,66
5,20,FR,2025,ALNEV.PA,255,0.4235294117647059,2.200000047683716,227,123,60,36,94
6,20,FR,2025,ALHPI.PA,255,1.0,0.0240000002086162,164,108,69,23,42
7,20,FR,2025,ALCAB.PA,255,0.9333333333333332,0.0979999974370002,182,95,52,18,70
8,20,FR,2025,ALADO.PA,255,0.0,158.0,153,79,45,21,57
9,20,FR,2025,ALCBI.PA,255,0.9372549019607844,0.2090000063180923,162,68,31,8,64
10,20,FR,2025,GNRO.PA,255,1.0,0.0505999997258186,157,63,35,32,45
1,20,HK,2025,1228.HK,246,0.5934959349593496,0.4150000065565109,149,65,25,18,45
2,20,HK,2025,0379.HK,246,1.0,0.0750000029802322,95,44,19,36,46
3,20,HK,2025,0704.HK,246,1.0,0.0869999974966049,72,42,27,28,41
4,20,HK,2025,1129.HK,246,0.9471544715447154,0.3125,89,40,20,17,42
5,20,HK,2025,1741.HK,246,1.0,0.1294999942183494,83,39,18,13,34
6,20,HK,2025,8418.HK,246,1.0,0.4550000131130218,133,39,15,34,26
7,20,HK,2025,0938.HK,246,0.926829268292683,0.6399999856948853,76,39,19,29,21
8,20,HK,2025,8206.HK,246,1.0,0.0705000013113021,87,38,13,11,30
9,20,HK,2025,8547.HK,246,1.0,0.1459999978542328,97,38,14,10,37
10,20,HK,2025,0274.HK,246,0.9959349593495936,0.4900000095367431,75,38,26,9,30
1,20,JP,2025,5721.T,243,0.382716049382716,122.0,110,35,18,22,57
2,20,JP,2025,9610.T,243,0.3209876543209876,125.0,80,32,16,7,27
3,20,JP,2025,2334.T,243,0.3621399176954732,236.0,110,27,4,12,47
4,20,JP,2025,2134.T,243,0.9876543209876544,31.0,94,26,9,9,35
5,20,JP,2025,6993.T,243,0.9670781893004116,34.0,88,24,9,12,26
6,20,JP,2025,8105.T,243,0.5925925925925926,54.0,78,24,6,19,46
7,20,JP,2025,2673.T,243,0.1646090534979424,137.0,51,24,15,3,25
8,20,JP,2025,3803.T,243,0.0,512.0,50,21,7,7,29
9,20,JP,2025,4833.T,243,0.6748971193415638,91.0,65,20,15,6,28
10,20,JP,2025,6029.T,243,0.0,163.0,42,20,4,1,16
1,20,KR,2025,012210.KQ,241,0.0,4110.0,82,38,14,52,34
2,20,KR,2025,010770.KS,241,0.0,4446.658203125,77,37,10,6,35
3,20,KR,2025,011080.KQ,242,0.5330578512396694,975.5,105,36,10,5,32
4,20,KR,2025,069920.KQ,231,0.3376623376623376,1203.0,101,32,5,7,34
5,20,KR,2025,042940.KQ,239,0.0,10680.0,69,31,11,17,33
6,20,KR,2025,210120.KQ,228,0.0,2637.5,103,29,9,6,30
7,20,KR,2025,192410.KQ,242,0.0,2707.0,78,28,9,4,25
8,20,KR,2025,308100.KQ,240,0.0,1994.6666870117188,74,27,8,11,25
9,20,KR,2025,093240.KS,241,0.0,2095.0,80,26,7,5,28
10,20,KR,2025,340930.KQ,242,0.0330578512396694,1350.7692260742188,62,25,5,2,19
1,20,TH,2025,SDC.BK,242,1.0,0.034999999217689,242,242,213,72,86
2,20,TH,2025,TWZ.BK,242,1.0,0.0299999993294477,240,240,240,41,53
3,20,TH,2025,NATION.BK,242,1.0,0.0299999993294477,231,231,222,83,85
4,20,TH,2025,MORE.BK,242,1.0,0.0399999991059303,239,230,146,77,88
5,20,TH,2025,CIG.BK,242,1.0,0.0399999991059303,230,225,187,78,80
6,20,TH,2025,GRAND.BK,242,1.0,0.0399999991059303,221,210,116,79,88
7,20,TH,2025,STOWER.BK,242,1.0,0.0399999991059303,237,203,113,102,97
8,20,TH,2025,B.BK,242,1.0,0.0399999991059303,241,197,53,62,79
9,20,TH,2025,WAVE.BK,242,1.0,0.0299999993294477,221,193,177,60,77
10,20,TH,2025,GEL.BK,242,1.0,0.0399999991059303,229,191,120,79,80
1,20,TW,2025,6682.TWO,242,0.7231404958677686,13.924999713897703,79,18,9,0,30
2,20,TW,2025,6467.TWO,243,0.0,70.9000015258789,58,15,3,0,23
