rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
1,10,abs_gap_ge,AU,ERA.AX,2025,253,2025-01-02,2025-12-31,0.0010000000474974,0.0024999999441206,0.0024031620714702,0.003000000026077,253,1.0,253,49,82,131,113,218,253,49,18,67,74,218,253,20,16,36,24,105,7,3,2,5,3,6,0,3,0,3,1,6
2,10,abs_gap_ge,AU,PIL.AX,2025,253,2025-01-02,2025-12-31,0.0020000000949949,0.003000000026077,0.0033913043984708,0.006000000052154,253,1.0,253,40,61,101,103,131,248,29,21,50,51,95,132,7,9,16,18,42,0,0,0,0,1,2,0,0,0,0,1,0
3,10,abs_gap_ge,AU,TMK.AX,2025,253,2025-01-02,2025-12-31,0.0549990013241767,0.1374990046024322,0.1446908442045859,0.2199990004301071,253,1.0,0,54,47,101,86,157,0,44,35,79,63,140,0,19,13,32,20,74,0,11,0,11,8,50,0,1,0,1,1,2
4,10,abs_gap_ge,AU,RGL.AX,2025,253,2025-01-02,2025-12-31,0.003000000026077,0.0040000001899898,0.004889328161571,0.0089999996125698,253,1.0,253,58,39,97,102,155,185,25,5,30,24,60,22,8,0,8,10,23,0,0,0,0,1,1,0,0,0,0,0,0
5,10,abs_gap_ge,AU,TMX.AX,2025,253,2025-01-02,2025-12-31,0.0020000000949949,0.003000000026077,0.0035316205773089,0.0070000002160668,253,1.0,253,52,40,92,96,118,243,34,7,41,35,79,133,10,6,16,11,18,0,0,0,0,1,0,0,0,0,0,0,0
6,10,abs_gap_ge,AU,VRC.AX,2025,253,2025-01-02,2025-12-31,0.003000000026077,0.0044999998062849,0.0048023715924485,0.0120000001043081,253,1.0,246,48,42,90,102,135,203,19,1,20,28,74,26,3,0,3,6,16,0,0,0,0,0,0,0,0,0,0,0,0
7,10,abs_gap_ge,AU,RDN.AX,2025,253,2025-01-02,2025-12-31,0.0040000001899898,0.0049999998882412,0.0054525692115275,0.0149999996647238,253,1.0,248,54,35,89,98,178,154,37,1,38,27,96,0,0,1,1,7,13,0,0,0,0,1,1,0,0,0,0,0,0
8,10,abs_gap_ge,AU,BNL.AX,2025,253,2025-01-02,2025-12-31,0.0040000001899898,0.006000000052154,0.0063111937950869,0.0089999996125698,253,1.0,253,53,34,87,112,187,42,14,1,15,32,84,0,0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,0
9,10,abs_gap_ge,AU,VEN.AX,2025,253,2025-01-02,2025-12-31,0.003000000026077,0.0040000001899898,0.004507905181512,0.006000000052154,253,1.0,253,38,48,86,96,124,233,26,5,31,46,89,8,3,1,4,10,26,0,0,0,0,0,2,0,0,0,0,0,0
10,10,abs_gap_ge,AU,MEM.AX,2025,253,2025-01-02,2025-12-31,0.003000000026077,0.0049999998882412,0.0053291897953896,0.0099999997764825,253,1.0,253,54,31,85,93,105,167,17,8,25,30,47,11,6,0,6,10,15,0,0,0,0,1,0,0,0,0,0,0,0
