rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
1,10,abs_ret_ge,AU,ROG.AX,2025,253,2025-01-02,2025-12-31,0.0020000000949949,0.0049999998882412,0.0047549407500331,0.0109999999403953,253,1.0,252,45,36,81,122,169,185,27,2,29,49,108,39,10,0,10,11,25,0,0,0,0,0,0,0,0,0,0,0,0
2,10,abs_ret_ge,AU,ERA.AX,2025,253,2025-01-02,2025-12-31,0.0010000000474974,0.0024999999441206,0.0024031620714702,0.003000000026077,253,1.0,253,49,82,131,113,218,253,49,18,67,74,218,253,20,16,36,24,105,7,3,2,5,3,6,0,3,0,3,1,6
3,10,abs_ret_ge,AU,BNL.AX,2025,253,2025-01-02,2025-12-31,0.0040000001899898,0.006000000052154,0.0063111937950869,0.0089999996125698,253,1.0,253,53,34,87,112,187,42,14,1,15,32,84,0,0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,0
4,10,abs_ret_ge,AU,ALM.AX,2025,253,2025-01-02,2025-12-31,0.003000000026077,0.0049999998882412,0.0054644268933727,0.0109999999403953,253,1.0,252,50,32,82,105,123,152,19,0,19,39,66,4,3,0,3,12,22,0,0,0,0,0,3,0,0,0,0,0,1
5,10,abs_ret_ge,AU,ARV.AX,2025,253,2025-01-02,2025-12-31,0.0040000001899898,0.0080000003799796,0.0074090909768675,0.0109999999403953,253,1.0,250,52,25,77,104,191,35,11,0,11,11,50,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
6,10,abs_ret_ge,AU,PIL.AX,2025,253,2025-01-02,2025-12-31,0.0020000000949949,0.003000000026077,0.0033913043984708,0.006000000052154,253,1.0,253,40,61,101,103,131,248,29,21,50,51,95,132,7,9,16,18,42,0,0,0,0,1,2,0,0,0,0,1,0
7,10,abs_ret_ge,AU,RGL.AX,2025,253,2025-01-02,2025-12-31,0.003000000026077,0.0040000001899898,0.004889328161571,0.0089999996125698,253,1.0,253,58,39,97,102,155,185,25,5,30,24,60,22,8,0,8,10,23,0,0,0,0,1,1,0,0,0,0,0,0
8,10,abs_ret_ge,AU,VRC.AX,2025,253,2025-01-02,2025-12-31,0.003000000026077,0.0044999998062849,0.0048023715924485,0.0120000001043081,253,1.0,246,48,42,90,102,135,203,19,1,20,28,74,26,3,0,3,6,16,0,0,0,0,0,0,0,0,0,0,0,0
9,10,abs_ret_ge,AU,AVE.AX,2025,253,2025-01-02,2025-12-31,0.0024999999441206,0.0054999999701976,0.0055731225615226,0.0099999997764825,253,1.0,253,37,34,71,102,149,125,13,1,14,21,68,22,3,0,3,4,17,0,0,0,0,0,0,0,0,0,0,0,0
10,10,abs_ret_ge,AU,SPX.AX,2025,253,2025-01-02,2025-12-31,0.0020000000949949,0.0070000002160668,0.0061857708197881,0.0099999997764825,253,1.0,253,45,37,82,102,160,82,17,2,19,22,54,40,7,0,7,8,25,0,0,0,0,0,1,0,0,0,0,0,0
1,10,abs_ret_ge,CA,CELL.V,2025,251,2025-01-02,2025-12-31,0.0199999995529651,0.0350000001490116,0.0362191234837727,0.1199999973177909,251,1.0,250,38,46,84,112,144,223,5,10,15,22,56,115,0,0,0,3,23,10,0,0,0,1,5,0,0,0,0,0,0
2,10,abs_ret_ge,CA,SAE.V,2025,251,2025-01-02,2025-12-31,0.0299999993294477,0.0350000001490116,0.0375697209510907,0.050000000745058,251,1.0,251,49,49,98,98,130,240,0,2,2,3,11,20,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0
3,10,abs_ret_ge,CA,EW.V,2025,251,2025-01-02,2025-12-31,0.1199999973177909,0.1599999964237213,0.1888844545975149,0.449999988079071,251,1.0,0,59,40,99,98,105,0,5,1,6,8,18,0,1,0,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0
4,10,abs_ret_ge,CA,AAZ.V,2025,251,2025-01-02,2025-12-31,0.0399999991059303,0.1199999973177909,0.1198804792743991,0.2399999946355819,251,1.0,78,43,45,88,96,193,4,40,37,77,83,178,0,16,7,23,27,81,0,3,0,3,7,29,0,1,0,1,0,3
5,10,abs_ret_ge,CA,QYOU.V,2025,251,2025-01-02,2025-12-31,0.3000000119209289,0.4199999868869781,0.4282470123463893,0.959999978542328,251,1.0,0,32,53,85,92,148,0,1,0,1,8,19,0,1,0,1,6,7,0,0,0,0,1,1,0,0,0,0,0,1
6,10,abs_ret_ge,CA,ACU.V,2025,251,2025-01-02,2025-12-31,0.0049999998882412,0.0149999996647238,0.015438246729958,0.0299999993294477,251,1.0,251,46,55,101,90,107,251,44,53,97,86,105,251,38,31,69,59,96,232,21,5,26,25,72,62,5,0,5,4,19
