rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
1,10,one_tick_ge,AU,ADS.AX,2025,253,2025-01-02,2025-12-31,0.0010000000474974,0.0010000000474974,0.0010000000474973,0.0010000000474974,253,1.0,253,0,0,0,0,1,253,0,0,0,0,1,253,0,0,0,0,1,253,0,0,0,0,1,0,0,0,0,0,1
2,10,one_tick_ge,AU,CLZ.AX,2025,253,2025-01-02,2025-12-31,0.0010000000474974,0.0010000000474974,0.0010000000474973,0.0010000000474974,253,1.0,253,0,0,0,0,0,253,0,0,0,0,0,253,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0
3,10,one_tick_ge,AU,NRZ.AX,2025,253,2025-01-02,2025-12-31,0.0010000000474974,0.0010000000474974,0.0012094862193141,0.003000000026077,253,1.0,253,10,7,17,23,36,253,10,6,16,21,36,253,9,5,14,19,29,207,3,3,6,9,10,0,3,0,3,4,10
4,10,one_tick_ge,AU,MOM.AX,2025,253,2025-01-02,2025-12-31,0.0010000000474974,0.0015000000130385,0.0016166008429108,0.003000000026077,253,1.0,253,23,30,53,57,50,253,23,26,49,53,50,253,19,19,38,42,45,142,3,5,8,6,14,0,3,0,3,3,14
5,10,one_tick_ge,AU,AOA.AX,2025,253,2025-01-02,2025-12-31,0.0010000000474974,0.0020000000949949,0.0023102767396489,0.0049999998882412,253,1.0,253,16,29,45,38,39,253,16,23,39,34,37,250,14,13,27,23,27,26,5,6,11,8,11,0,4,0,4,5,11
6,10,one_tick_ge,AU,CT1.AX,2025,253,2025-01-02,2025-12-31,0.0010000000474974,0.0020000000949949,0.0019051384258087,0.0020000000949949,253,1.0,253,17,23,40,35,18,253,17,23,40,35,18,253,17,10,27,23,18,34,6,9,15,11,7,0,6,0,6,6,7
7,10,one_tick_ge,AU,GCR.AX,2025,253,2025-01-02,2025-12-31,0.0020000000949949,0.0020000000949949,0.0020000000949948,0.0020000000949949,253,1.0,253,0,0,0,0,0,253,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,one_tick_ge,AU,GGE.AX,2025,253,2025-01-02,2025-12-31,0.0010000000474974,0.0020000000949949,0.0021363636994137,0.0040000001899898,253,1.0,253,34,32,66,62,61,253,34,20,54,47,60,251,18,12,30,22,28,31,1,3,4,6,5,0,1,0,1,4,5
9,10,one_tick_ge,AU,HCD.AX,2025,253,2025-01-02,2025-12-31,0.0015000000130385,0.0020000000949949,0.0023040158799278,0.003000000026077,253,1.0,253,11,15,26,25,15,253,11,12,23,24,15,253,6,11,17,20,10,3,0,1,1,2,0,0,0,0,0,1,0
10,10,one_tick_ge,AU,HLX.AX,2025,253,2025-01-02,2025-12-31,0.0010000000474974,0.0020000000949949,0.0019749486621049,0.0040000001899898,253,1.0,253,32,44,76,83,74,253,30,26,56,58,66,232,19,18,37,38,51,107,5,5,10,8,9,0,5,0,5,3,9
1,10,one_tick_ge,CA,AQS.V,2025,251,2025-01-02,2025-12-31,0.0049999998882412,0.0049999998882412,0.0053685257764183,0.0099999997764825,251,1.0,251,7,7,14,13,7,251,7,7,14,13,7,251,7,7,14,13,7,251,7,6,13,12,7,251,7,0,7,5,6
2,10,one_tick_ge,CA,CANS.V,2025,251,2025-01-02,2025-12-31,0.0049999998882412,0.0049999998882412,0.0060756970753528,0.0099999997764825,251,1.0,251,20,19,39,35,25,251,20,19,39,35,25,251,20,19,39,35,25,251,20,19,39,35,25,251,19,0,19,17,25
3,10,one_tick_ge,CA,ETU.V,2025,251,2025-01-02,2025-12-31,0.0049999998882412,0.0049999998882412,0.0053087648215788,0.0099999997764825,251,1.0,251,16,12,28,22,40,251,16,12,28,22,40,251,16,12,28,22,40,251,16,7,23,20,39,251,15,0,15,8,35
4,10,one_tick_ge,CA,GOK.V,2025,251,2025-01-02,2025-12-31,0.0049999998882412,0.0049999998882412,0.0074501990366622,0.0149999996647238,251,1.0,251,1,3,4,4,0,251,1,3,4,4,0,251,1,3,4,4,0,251,1,1,2,2,0,226,0,0,0,0,0
5,10,one_tick_ge,CA,NAV.V,2025,251,2025-01-02,2025-12-31,0.0049999998882412,0.0049999998882412,0.0071513942624645,0.0149999996647238,251,1.0,251,15,8,23,21,13,251,15,8,23,21,13,251,15,8,23,21,13,251,15,7,22,20,13,248,15,0,15,10,12
6,10,one_tick_ge,CA,PPM.V,2025,251,2025-01-02,2025-12-31,0.0049999998882412,0.0049999998882412,0.0070916333113354,0.025000000372529,251,1.0,251,13,9,22,26,18,251,13,9,22,26,18,251,13,9,22,24,16,250,12,3,15,15,14,231,5,0,5,4,5
7,10,one_tick_ge,CA,ADD.V,2025,251,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0136653383399741,0.0299999993294477,251,1.0,251,11,17,28,34,26,251,11,17,28,34,26,251,11,17,28,34,26,245,11,12,23,29,26,165,10,0,10,12,16
8,10,one_tick_ge,CA,ALT.V,2025,251,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0099999997764825,0.0099999997764825,251,1.0,251,0,0,0,0,0,251,0,0,0,0,0,251,0,0,0,0,0,251,0,0,0,0,0,251,0,0,0,0,0
9,10,one_tick_ge,CA,AVX.V,2025,251,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0099999997764825,0.0099999997764825,251,1.0,251,0,0,0,0,0,251,0,0,0,0,0,251,0,0,0,0,0,251,0,0,0,0,0,251,0,0,0,0,0
10,10,one_tick_ge,CA,BIGT.V,2025,251,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0126294817894221,0.0299999993294477,251,1.0,251,6,5,11,9,12,251,6,5,11,9,12,251,6,5,11,9,12,250,6,5,11,8,12,186,5,0,5,3,7
1,10,one_tick_ge,FR,ALIBR.PA,2025,255,2025-01-02,2025-12-31,9.999999747378752e-05,0.0003000000142492,0.0003176470626117,0.0006000000284984,255,1.0,255,59,42,101,93,222,255,57,42,99,92,217,255,48,20,68,58,181,255,29,0,29,25,118,255,0,0,0,1,14
2,10,one_tick_ge,FR,MLALE.PA,2025,255,2025-01-02,2025-12-31,0.0010000000474974,0.0010000000474974,0.0010000000474973,0.0010000000474974,255,1.0,255,0,0,0,0,0,255,0,0,0,0,0,255,0,0,0,0,0,255,0,0,0,0,0,255,0,0,0,0,0
3,10,one_tick_ge,FR,ALNRG.PA,2025,255,2025-01-02,2025-12-31,0.0024000001139938,0.0046000001020729,0.0045388235317944,0.0065000001341104,255,1.0,255,0,0,0,16,51,255,0,0,0,3,12,255,0,0,0,0,4,255,0,0,0,0,0,255,0,0,0,0,0
4,10,one_tick_ge,FR,MLSEQ.PA,2025,255,2025-01-02,2025-12-31,0.003000000026077,0.0070000002160668,0.0070274509270401,0.0104999998584389,255,1.0,255,35,45,80,81,25,255,15,19,34,31,12,255,7,7,14,12,6,255,0,1,1,0,2,239,0,0,0,0,1
5,10,one_tick_ge,FR,ALTAO.PA,2025,255,2025-01-02,2025-12-31,0.0052000000141561,0.0083999997004866,0.0085576470795214,0.0109000001102685,255,1.0,255,1,1,2,7,24,255,0,1,1,0,6,255,0,0,0,0,3,255,0,0,0,0,1,230,0,0,0,0,0
6,10,one_tick_ge,FR,MLPVG.PA,2025,255,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0099999997764825,0.0099999997764825,255,1.0,255,0,0,0,0,0,255,0,0,0,0,0,255,0,0,0,0,0,255,0,0,0,0,0,255,0,0,0,0,0
7,10,one_tick_ge,FR,LAT.PA,2025,255,2025-01-02,2025-12-31,0.0085000004619359,0.0133999995887279,0.0131521568724921,0.0196000002324581,255,1.0,255,2,0,2,11,35,255,0,0,0,2,11,255,0,0,0,2,4,255,0,0,0,1,1,37,0,0,0,0,0
