rank,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
1,AU,ZNC.AX,2020,255,2020-01-02,2020-12-31,0.0260000005364418,0.0989999994635582,0.0908372553759345,0.1599999964237213,255,1.0,0,5,5,10,23,28,0,2,0,2,3,4,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2,AU,14D.AX,2020,255,2020-01-02,2020-12-31,0.0666999965906143,0.1498329937458038,0.1465141296678898,0.2610000073909759,255,1.0,0,7,0,7,38,77,0,1,0,1,4,15,0,1,0,1,3,6,0,0,0,0,0,2,0,0,0,0,0,1
3,AU,1AD.AX,2020,255,2020-01-02,2020-12-31,0.0334849990904331,0.0831829980015754,0.0789177173054685,0.1289339959621429,255,1.0,0,9,4,13,35,61,0,0,1,1,2,11,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
4,AU,ZMM.AX,2020,255,2020-01-02,2020-12-31,0.1845220029354095,0.3690449893474579,0.3936048188630272,0.9226139783859252,255,1.0,0,50,53,103,95,161,0,42,46,88,74,149,0,42,38,80,50,135,0,11,13,24,23,117,0,9,0,9,3,81
5,AU,ZMI.AX,2020,255,2020-01-02,2020-12-31,0.025000000372529,0.0450000017881393,0.0462274510413407,0.0750000029802322,255,1.0,0,7,12,19,26,18,0,0,3,3,4,5,0,0,0,0,3,2,0,0,0,0,1,2,0,0,0,0,0,0
6,AU,3DA.AX,2020,255,2020-01-02,2020-12-31,0.0640000030398368,0.25,0.3280196088786218,0.8100000023841858,255,1.0,0,7,1,8,41,103,0,2,0,2,6,15,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
7,AU,3DP.AX,2020,255,2020-01-02,2020-12-31,0.0179999992251396,0.0540000014007091,0.20533921444679,0.6100000143051147,255,1.0,0,7,2,9,32,80,0,2,0,2,16,22,0,1,0,1,6,7,0,1,0,1,1,2,0,0,0,0,0,0
8,AU,WZR.AX,2020,255,2020-01-02,2020-12-31,0.0659999996423721,0.2000000029802322,0.1957019599045024,0.3199999928474426,255,1.0,0,6,5,11,31,72,0,1,0,1,6,17,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0
9,AU,WYX.AX,2020,255,2020-01-02,2020-12-31,0.1500000059604644,0.1500000059604644,0.1500000059604644,0.1500000059604644,255,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,AU,WWI.AX,2020,255,2020-01-02,2020-12-31,0.0068569998256862,0.019590999931097,0.0274050509100596,0.0979589968919754,255,1.0,39,18,4,22,55,100,0,3,0,3,9,29,0,0,0,0,4,13,0,0,0,0,0,1,0,0,0,0,0,0
1,AU,ZNC.AX,2021,254,2021-01-04,2021-12-31,0.1099999994039535,0.2249999940395355,0.2077952741579277,0.3199999928474426,254,1.0,0,4,1,5,16,28,0,1,0,1,3,7,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,AU,14D.AX,2021,254,2021-01-04,2021-12-31,0.087966002523899,0.1305000036954879,0.1513477168155936,0.3286660015583038,254,1.0,0,6,1,7,18,40,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,AU,1AD.AX,2021,254,2021-01-04,2021-12-31,0.0598910003900527,0.1081380024552345,0.1012466378568663,0.1622070074081421,254,1.0,0,2,1,3,13,31,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4,AU,ZMM.AX,2021,254,2021-01-04,2021-12-31,0.1771409958600998,0.2583320140838623,0.2573143943088261,0.413331001996994,254,1.0,0,8,2,10,31,57,0,1,0,1,3,7,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
5,AU,ZMI.AX,2021,254,2021-01-04,2021-12-31,0.0430000014603138,0.0560000017285347,0.0552007872757948,0.06700000166893,254,1.0,0,2,7,9,10,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AU,XPN.AX,2021,3,2021-12-29,2021-12-31,0.2000000029802322,0.2150000035762787,0.2100000033775965,0.2150000035762787,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,AU,XGL.AX,2021,254,2021-01-04,2021-12-31,0.0579999983310699,0.1449999958276748,0.1442933080233926,0.2949999868869781,254,1.0,0,6,8,14,31,60,0,0,1,1,8,23,0,0,1,1,5,7,0,0,0,0,3,4,0,0,0,0,1,1
8,AU,XF1.AX,2021,254,2021-01-04,2021-12-31,0.2349999994039535,0.4000000059604645,0.4238976369223257,0.7350000143051147,254,1.0,0,1,0,1,9,14,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,AU,X2M.AX,2021,71,2021-09-22,2021-12-31,0.124609999358654,0.1646630018949508,0.1668885049055999,0.2403199970722198,71,1.0,0,2,0,2,8,14,0,1,0,1,1,4,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10,AU,WZR.AX,2021,254,2021-01-04,2021-12-31,0.1800000071525573,0.25,0.2442125970805723,0.3350000083446502,254,1.0,0,0,1,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AU,ZNO.AX,2022,251,2022-01-04,2022-12-30,0.0939240008592605,0.1532450020313263,0.1843605898172256,0.4547919929027557,251,1.0,0,3,0,3,16,47,0,0,0,0,3,11,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2,AU,14D.AX,2022,251,2022-01-04,2022-12-30,0.0628330036997795,0.0841000005602836,0.0855149563208993,0.1159999966621398,251,1.0,0,1,1,2,11,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,AU,1AD.AX,2022,251,2022-01-04,2022-12-30,0.0344390012323856,0.0436789989471435,0.0494000362417849,0.0713990032672882,251,1.0,0,3,2,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
