rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
1,10,range_ge,AU,ERA.AX,2025,253,2025-01-02,2025-12-31,0.0010000000474974,0.0024999999441206,0.0024031620714702,0.003000000026077,253,1.0,253,49,82,131,113,218,253,49,18,67,74,218,253,20,16,36,24,105,7,3,2,5,3,6,0,3,0,3,1,6
2,10,range_ge,AU,OVT.AX,2025,253,2025-01-02,2025-12-31,0.0020000000949949,0.006000000052154,0.0073715415387506,0.0230000000447034,253,1.0,214,42,32,74,92,193,93,16,9,25,32,97,42,9,5,14,14,41,0,1,0,1,1,8,0,0,0,0,1,1
3,10,range_ge,AU,FBR.AX,2025,253,2025-01-02,2025-12-31,0.003000000026077,0.006000000052154,0.0108458497892814,0.0469999983906745,253,1.0,194,50,31,81,101,192,120,31,4,35,37,145,5,4,1,5,8,29,0,0,0,0,1,1,0,0,0,0,0,0
4,10,range_ge,AU,ARV.AX,2025,253,2025-01-02,2025-12-31,0.0040000001899898,0.0080000003799796,0.0074090909768675,0.0109999999403953,253,1.0,250,52,25,77,104,191,35,11,0,11,11,50,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
5,10,range_ge,AU,BNL.AX,2025,253,2025-01-02,2025-12-31,0.0040000001899898,0.006000000052154,0.0063111937950869,0.0089999996125698,253,1.0,253,53,34,87,112,187,42,14,1,15,32,84,0,0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,0
6,10,range_ge,AU,RDN.AX,2025,253,2025-01-02,2025-12-31,0.0040000001899898,0.0049999998882412,0.0054525692115275,0.0149999996647238,253,1.0,248,54,35,89,98,178,154,37,1,38,27,96,0,0,1,1,7,13,0,0,0,0,1,1,0,0,0,0,0,0
7,10,range_ge,AU,ROG.AX,2025,253,2025-01-02,2025-12-31,0.0020000000949949,0.0049999998882412,0.0047549407500331,0.0109999999403953,253,1.0,252,45,36,81,122,169,185,27,2,29,49,108,39,10,0,10,11,25,0,0,0,0,0,0,0,0,0,0,0,0
8,10,range_ge,AU,ADG.AX,2025,253,2025-01-02,2025-12-31,0.0040000001899898,0.006000000052154,0.0068122529417364,0.0170000009238719,253,1.0,227,45,12,57,93,164,112,21,0,21,27,84,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
9,10,range_ge,AU,SPX.AX,2025,253,2025-01-02,2025-12-31,0.0020000000949949,0.0070000002160668,0.0061857708197881,0.0099999997764825,253,1.0,253,45,37,82,102,160,82,17,2,19,22,54,40,7,0,7,8,25,0,0,0,0,0,1,0,0,0,0,0,0
10,10,range_ge,AU,TMK.AX,2025,253,2025-01-02,2025-12-31,0.0549990013241767,0.1374990046024322,0.1446908442045859,0.2199990004301071,253,1.0,0,54,47,101,86,157,0,44,35,79,63,140,0,19,13,32,20,74,0,11,0,11,8,50,0,1,0,1,1,2
1,10,range_ge,CA,AAZ.V,2025,251,2025-01-02,2025-12-31,0.0399999991059303,0.1199999973177909,0.1198804792743991,0.2399999946355819,251,1.0,78,43,45,88,96,193,4,40,37,77,83,178,0,16,7,23,27,81,0,3,0,3,7,29,0,1,0,1,0,3
2,10,range_ge,CA,CSTR.V,2025,251,2025-01-02,2025-12-31,0.0049999998882412,0.0149999996647238,0.0160756969297548,0.0299999993294477,251,1.0,251,58,42,100,90,185,251,55,41,96,86,174,251,51,12,63,54,157,228,22,7,29,18,67,51,5,0,5,4,24
3,10,range_ge,CA,PPR.TO,2025,251,2025-01-02,2025-12-31,0.6000000238418579,0.8999999761581421,0.9757768820481472,1.7999999523162842,170,0.6772908366533864,0,67,37,104,73,166,0,14,0,14,8,50,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0
4,10,range_ge,CA,SCD.V,2025,251,2025-01-02,2025-12-31,0.0149999996647238,0.0199999995529651,0.0428486054399573,0.1599999964237213,251,1.0,218,30,26,56,77,155,181,20,22,42,45,97,168,17,0,17,18,73,136,0,0,0,2,10,0,0,0,0,0,2
5,10,range_ge,CA,GT.V,2025,251,2025-01-02,2025-12-31,0.0199999995529651,0.0299999993294477,0.0302788843641955,0.0549999997019767,251,1.0,251,40,47,87,85,149,240,9,15,24,33,57,176,0,0,0,3,15,20,0,0,0,1,5,0,0,0,0,0,1
6,10,range_ge,CA,QYOU.V,2025,251,2025-01-02,2025-12-31,0.3000000119209289,0.4199999868869781,0.4282470123463893,0.959999978542328,251,1.0,0,32,53,85,92,148,0,1,0,1,8,19,0,1,0,1,6,7,0,0,0,0,1,1,0,0,0,0,0,1
7,10,range_ge,CA,BABY.TO,2025,251,2025-01-02,2025-12-31,0.1000000014901161,0.2000000029802322,0.1781175328915812,0.3499999940395355,251,1.0,0,26,33,59,63,146,0,19,22,41,38,117,0,14,8,22,18,90,0,3,0,3,5,39,0,0,0,0,0,3
8,10,range_ge,CA,CELL.V,2025,251,2025-01-02,2025-12-31,0.0199999995529651,0.0350000001490116,0.0362191234837727,0.1199999973177909,251,1.0,250,38,46,84,112,144,223,5,10,15,22,56,115,0,0,0,3,23,10,0,0,0,1,5,0,0,0,0,0,0
9,10,range_ge,CA,FT.TO,2025,251,2025-01-02,2025-12-31,0.0399999991059303,0.0799999982118606,0.0737051798320148,0.1199999973177909,251,1.0,223,29,28,57,63,140,8,4,6,10,11,31,0,0,0,0,4,5,0,0,0,0,0,1,0,0,0,0,0,0
10,10,range_ge,CA,MATA.V,2025,251,2025-01-02,2025-12-31,0.135000005364418,0.4250000119209289,0.5075597619392958,1.7999999523162842,227,0.904382470119522,0,7,1,8,56,138,0,0,0,0,13,40,0,0,0,0,6,15,0,0,0,0,1,5,0,0,0,0,0,0
1,10,range_ge,CN,688205.SS,2025,243,2025-01-02,2025-12-31,34.656253814697266,68.6466293334961,81.05747624777963,174.5500030517578,0,0.0,0,2,0,2,27,69,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,range_ge,CN,300344.SZ,2025,243,2025-01-02,2025-12-31,1.0199999809265137,4.96999979019165,5.821522635687526,14.279999732971191,122,0.5020576131687243,0,2,7,9,33,62,0,0,2,2,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,range_ge,CN,301357.SZ,2025,243,2025-01-02,2025-12-31,27.38999938964844,80.0,87.32000033845627,185.509994506836,0,0.0,0,0,2,2,29,60,0,0,0,0,4,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,10,range_ge,CN,300204.SZ,2025,243,2025-01-02,2025-12-31,6.269999980926514,30.1200008392334,26.63839511518125,61.0,0,0.0,0,0,0,0,18,59,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
