market,year,total_stocks,total_stock_days,stocks_ever_penny,stocks_ever_penny_ratio,stocks_penny_majority_days,stocks_penny_majority_ratio,penny_days_total,penny_day_ratio_all,median_close_median_of_stocks,mean_close_mean_of_stocks,stocks_one_tick_ge_10,stocks_one_tick_ge_10_ratio,days_one_tick_ge_10,days_one_tick_ge_10_ratio,stocks_gap_up_ge_10,stocks_gap_up_ge_10_ratio,days_gap_up_ge_10,days_gap_up_ge_10_ratio,stocks_gap_down_le_10,stocks_gap_down_le_10_ratio,days_gap_down_le_10,days_gap_down_le_10_ratio,stocks_abs_gap_ge_10,stocks_abs_gap_ge_10_ratio,days_abs_gap_ge_10,days_abs_gap_ge_10_ratio,stocks_abs_ret_ge_10,stocks_abs_ret_ge_10_ratio,days_abs_ret_ge_10,days_abs_ret_ge_10_ratio,stocks_range_ge_10,stocks_range_ge_10_ratio,days_range_ge_10,days_range_ge_10_ratio,stocks_one_tick_ge_20,stocks_one_tick_ge_20_ratio,days_one_tick_ge_20,days_one_tick_ge_20_ratio,stocks_gap_up_ge_20,stocks_gap_up_ge_20_ratio,days_gap_up_ge_20,days_gap_up_ge_20_ratio,stocks_gap_down_le_20,stocks_gap_down_le_20_ratio,days_gap_down_le_20,days_gap_down_le_20_ratio,stocks_abs_gap_ge_20,stocks_abs_gap_ge_20_ratio,days_abs_gap_ge_20,days_abs_gap_ge_20_ratio,stocks_abs_ret_ge_20,stocks_abs_ret_ge_20_ratio,days_abs_ret_ge_20,days_abs_ret_ge_20_ratio,stocks_range_ge_20,stocks_range_ge_20_ratio,days_range_ge_20,days_range_ge_20_ratio,stocks_one_tick_ge_30,stocks_one_tick_ge_30_ratio,days_one_tick_ge_30,days_one_tick_ge_30_ratio,stocks_gap_up_ge_30,stocks_gap_up_ge_30_ratio,days_gap_up_ge_30,days_gap_up_ge_30_ratio,stocks_gap_down_le_30,stocks_gap_down_le_30_ratio,days_gap_down_le_30,days_gap_down_le_30_ratio,stocks_abs_gap_ge_30,stocks_abs_gap_ge_30_ratio,days_abs_gap_ge_30,days_abs_gap_ge_30_ratio,stocks_abs_ret_ge_30,stocks_abs_ret_ge_30_ratio,days_abs_ret_ge_30,days_abs_ret_ge_30_ratio,stocks_range_ge_30,stocks_range_ge_30_ratio,days_range_ge_30,days_range_ge_30_ratio,stocks_one_tick_ge_50,stocks_one_tick_ge_50_ratio,days_one_tick_ge_50,days_one_tick_ge_50_ratio,stocks_gap_up_ge_50,stocks_gap_up_ge_50_ratio,days_gap_up_ge_50,days_gap_up_ge_50_ratio,stocks_gap_down_le_50,stocks_gap_down_le_50_ratio,days_gap_down_le_50,days_gap_down_le_50_ratio,stocks_abs_gap_ge_50,stocks_abs_gap_ge_50_ratio,days_abs_gap_ge_50,days_abs_gap_ge_50_ratio,stocks_abs_ret_ge_50,stocks_abs_ret_ge_50_ratio,days_abs_ret_ge_50,days_abs_ret_ge_50_ratio,stocks_range_ge_50,stocks_range_ge_50_ratio,days_range_ge_50,days_range_ge_50_ratio,stocks_one_tick_ge_100,stocks_one_tick_ge_100_ratio,days_one_tick_ge_100,days_one_tick_ge_100_ratio,stocks_gap_up_ge_100,stocks_gap_up_ge_100_ratio,days_gap_up_ge_100,days_gap_up_ge_100_ratio,stocks_gap_down_le_100,stocks_gap_down_le_100_ratio,days_gap_down_le_100,days_gap_down_le_100_ratio,stocks_abs_gap_ge_100,stocks_abs_gap_ge_100_ratio,days_abs_gap_ge_100,days_abs_gap_ge_100_ratio,stocks_abs_ret_ge_100,stocks_abs_ret_ge_100_ratio,days_abs_ret_ge_100,days_abs_ret_ge_100_ratio,stocks_range_ge_100,stocks_range_ge_100_ratio,days_range_ge_100,days_range_ge_100_ratio
au,2020,1246,304788,992,0.7961476725521669,897,0.7199036918138042,219710,0.7208617137157631,0.2381891384720802,2.7250243792372615,148,0.1187800963081862,15465,0.05074018662152053,976,0.78330658105939,8666,0.02843287793482683,878,0.7046548956661316,6217,0.020397784689685946,1060,0.8507223113964687,14883,0.04883066262451278,1176,0.9438202247191011,27388,0.08985918080764335,1195,0.9590690208667737,44202,0.14502539470057876,80,0.06420545746388442,6306,0.020689790936651048,597,0.47913322632423755,2655,0.008710972872947753,374,0.3001605136436597,1938,0.0063585180518918065,661,0.5304975922953451,4593,0.01506949092483956,915,0.7343499197431782,7231,0.023724687323647912,999,0.8017656500802568,12443,0.04082509810097511,44,0.03531300160513644,3020,0.00990852658241138,363,0.2913322632423756,1287,0.0042226071892594195,183,0.14686998394863562,1021,0.0033498694174311323,404,0.32423756019261635,2308,0.007572476606690552,652,0.5232744783306581,2960,0.009711668438389963,757,0.6075441412520064,5536,0.01816344475504285,17,0.013643659711075442,1167,0.0038288909012165833,168,0.1348314606741573,451,0.00147971704922766,74,0.0593900481540931,247,0.0008103993595548381,187,0.15008025682182985,698,0.002290116408782498,329,0.2640449438202247,928,0.003044739294197934,434,0.34831460674157305,2302,0.00755279079228841,2,0.0016051364365971107,53,0.0001738913605522527,73,0.058587479935794544,212,0.0006955654422090108,0,0.0,0,0.0,73,0.058587479935794544,212,0.0006955654422090108,124,0.09951845906902086,218,0.0007152512566111527,169,0.13563402889245585,920,0.0030184915416617453
au,2021,1417,333779,1043,0.7360621030345801,973,0.6866619618913197,225433,0.6753959955539444,0.324999988079071,3.0921521471278015,45,0.03175723359209598,4515,0.013526914515293054,841,0.5935074100211715,4861,0.014563528562312189,540,0.38108680310515175,2504,0.007501969866288772,925,0.652787579393084,7365,0.02206549842860096,1187,0.8376852505292872,17052,0.051087695750781204,1248,0.8807339449541285,33963,0.10175295629743034,14,0.009880028228652082,1389,0.004161436159854275,355,0.25052928722653495,1200,0.003595193226655961,111,0.07833450952717008,565,0.0016927368108838484,401,0.2829922371206775,1765,0.0052879300375398095,740,0.5222300635144672,3205,0.009602161909526962,886,0.6252646436132675,6959,0.020849124720249027,6,0.004234297812279464,759,0.002273959715859895,182,0.12844036697247707,632,0.0018934684327054727,48,0.03387438249823571,330,0.0009886781373303892,204,0.14396612561750177,962,0.002882146570035862,423,0.2985179957657022,1280,0.003834872775099692,555,0.3916725476358504,2951,0.008841179343218118,4,0.0028228652081863093,506,0.0015159731439065968,80,0.056457304163726185,273,0.0008179064590642312,23,0.016231474947071278,122,0.00036551131137668936,91,0.06422018348623854,395,0.0011834177704409205,181,0.1277346506704305,461,0.0013811533979069983,231,0.16302046577275936,1144,0.0034274175427453494,0,0.0,0,0.0,35,0.024700070571630206,121,0.00036251531702114273,0,0.0,0,0.0,35,0.024700070571630206,121,0.00036251531702114273,72,0.05081157374735357,134,0.000401463243643249,62,0.043754410726887794,442,0.0013242295051516123
au,2022,1500,366731,1171,0.7806666666666666,1095,0.73,263654,0.7189302240606875,0.2429905012249946,2.76918428353747,72,0.048,8224,0.02242515631348318,1007,0.6713333333333333,6150,0.01676978493773365,796,0.5306666666666666,3997,0.010898996812377465,1099,0.7326666666666667,10147,0.027668781750111116,1338,0.892,22523,0.06141558799228863,1350,0.9,38519,0.10503338959618903,25,0.016666666666666666,1472,0.004013841207860803,396,0.264,1304,0.003555739765659298,206,0.13733333333333334,684,0.0018651273003918404,481,0.32066666666666666,1988,0.005420867066051138,878,0.5853333333333334,3668,0.010001881488066185,986,0.6573333333333333,7012,0.019120281623315184,10,0.006666666666666667,141,0.0003844779961334057,193,0.12866666666666668,577,0.001573360310418263,84,0.056,284,0.0007744095808644483,235,0.15666666666666668,861,0.0023477698912827112,446,0.29733333333333334,1168,0.0031848957410199846,591,0.394,2281,0.006219817795604953,2,0.0013333333333333333,34,9.271100615982832e-05,83,0.05533333333333333,212,0.0005780803913495178,36,0.024,80,0.0002181435439054784,98,0.06533333333333333,292,0.0007962239352549962,167,0.11133333333333334,347,0.0009461976216900126,203,0.13533333333333333,656,0.0017887770600249228,0,0.0,0,0.0,29,0.019333333333333334,75,0.000204509572411386,1,0.0006666666666666666,1,2.72679429881848e-06,30,0.02,76,0.00020723636671020449,47,0.03133333333333333,80,0.0002181435439054784,43,0.028666666666666667,223,0.000608075128636521
au,2023,1550,381878,1237,0.7980645161290323,1176,0.7587096774193548,288658,0.7558906247545027,0.18211050331592554,2.8055394327374126,159,0.10258064516129033,18994,0.04973839812715056,1011,0.652258064516129,7261,0.019013925913511646,887,0.572258064516129,5794,0.015172384897794584,1118,0.7212903225806452,13055,0.03418631081130623,1344,0.8670967741935484,24563,0.06432158961762657,1351,0.8716129032258064,36075,0.09446734297341036,64,0.04129032258064516,7118,0.01863946077019362,499,0.32193548387096776,1849,0.004841860489475696,275,0.1774193548387097,1039,0.0027207642231288527,583,0.3761290322580645,2888,0.007562624712604549,933,0.6019354838709677,4955,0.012975348147837792,1021,0.6587096774193548,7852,0.020561540596735085,30,0.01935483870967742,2307,0.006041196403039714,247,0.15935483870967743,804,0.002105384442151682,102,0.06580645161290323,440,0.0011522004409785325,291,0.18774193548387097,1244,0.0032575848831302144,541,0.34903225806451615,1724,0.0045145308187431584,675,0.43548387096774194,2821,0.007387176009091909,3,0.001935483870967742,73,0.00019116052770780197,109,0.0703225806451613,284,0.0007436930119043254,33,0.02129032258064516,87,0.00022782145082984618,118,0.07612903225806451,371,0.0009715144627341717,196,0.12645161290322582,464,0.0012150477377591796,256,0.16516129032258065,741,0.001940410288102483,0,0.0,0,0.0,43,0.027741935483870966,118,0.0003089992091715155,0,0.0,0,0.0,43,0.027741935483870966,118,0.0003089992091715155,55,0.035483870967741936,90,0.00023567736292742707,67,0.043225806451612905,247,0.0006468034293674943
au,2024,1601,396502,1276,0.797001873828857,1229,0.7676452217364147,302764,0.76358757332876,0.1400000005960464,3.2610401424401183,259,0.1617738913179263,35898,0.09053674382474741,1078,0.6733291692692067,9289,0.023427372371387787,977,0.6102435977514054,8085,0.02039081770079344,1192,0.7445346658338539,17374,0.043818190072181226,1382,0.863210493441599,30796,0.07766921730533516,1416,0.8844472204871955,42186,0.10639542801801756,125,0.07807620237351655,15758,0.039742548587396787,577,0.3603997501561524,2856,0.007202990148851708,375,0.23422860712054966,1647,0.004153825201386122,678,0.42348532167395375,4503,0.01135681535023783,1016,0.6346033728919426,7300,0.018411004232008917,1070,0.6683322923173017,11244,0.02835799062804223,79,0.04934415990006246,6140,0.015485419997881474,318,0.19862585883822612,1264,0.0031878779930492153,164,0.10243597751405371,662,0.0016696006577520417,367,0.2292317301686446,1926,0.004857478650801257,648,0.4047470331043098,2769,0.00698357133129215,761,0.47532792004996877,4360,0.010996161431720395,15,0.009369144284821987,563,0.0014199171757015097,139,0.0868207370393504,355,0.0008953296578579679,48,0.029981261711430358,180,0.00045396996736460344,152,0.09494066208619613,535,0.0013492996252225714,269,0.1680199875078076,711,0.0017931813710901836,347,0.21673953778888194,1191,0.003003767950729126,0,0.0,0,0.0,63,0.03935040599625234,145,0.0003656980292659306,0,0.0,0,0.0,63,0.03935040599625234,145,0.0003656980292659306,101,0.06308557151780138,175,0.00044135969049336447,116,0.07245471580262336,415,0.0010466529803128358
au,2025,1695,408690,1337,0.7887905604719764,1296,0.7646017699115044,309351,0.7569331277985759,0.135000005364418,3.486228639124495,292,0.17227138643067846,47078,0.11519244415082336,1200,0.7079646017699115,10255,0.025092368298710515,995,0.5870206489675516,7990,0.01955027037607967,1310,0.7728613569321534,18245,0.04464263867479018,1511,0.8914454277286136,33989,0.08316572463236194,1533,0.904424778761062,52343,0.1280750691232964,168,0.09911504424778761,21620,0.05290073160586264,603,0.35575221238938054,3153,0.00771489392938413,333,0.19646017699115045,1480,0.0036213266779221414,692,0.40825958702064896,4633,0.01133622060730627,1066,0.6289085545722713,7648,0.01871345029239766,1144,0.6749262536873156,13480,0.03298343487729086,104,0.06135693215339233,10076,0.02465438351806993,357,0.21061946902654868,1266,0.0030977024150333995,165,0.09734513274336283,734,0.0017959822848613864,412,0.2430678466076696,2000,0.004893684699894786,672,0.39646017699115044,2747,0.006721475935305489,796,0.4696165191740413,4950,0.012111869632239595,27,0.01592920353982301,1608,0.003934522498715408,157,0.09262536873156342,308,0.000753627443783797,51,0.03008849557522124,158,0.00038660109129168806,177,0.10442477876106195,466,0.001140228535075485,311,0.18348082595870208,652,0.0015953412121657,379,0.22359882005899706,1127,0.002757591328390712,0,0.0,0,0.0,68,0.040117994100294985,146,0.00035723898309231937,0,0.0,0,0.0,68,0.040117994100294985,146,0.00035723898309231937,120,0.07079646017699115,194,0.00047468741588979423,133,0.07846607669616519,410,0.001003205363478431
ca,2020,1601,393411,1145,0.7151780137414117,1007,0.6289818863210493,247316,0.6286453607042,0.449999988079071,8.449179543621511,506,0.316052467207995,67191,0.1707908523147548,1348,0.8419737663960025,14822,0.0376756115106085,1407,0.8788257339163024,12988,0.03301382015246142,1504,0.9394128669581512,27810,0.07068943166306992,1549,0.9675202998126171,43630,0.11090183040128516,1546,0.9656464709556527,61654,0.15671651275637946,270,0.16864459712679575,24767,0.06295451830274192,952,0.594628357276702,5202,0.01322281278357748,856,0.5346658338538414,4151,0.010551306394584799,1101,0.6876951905059338,9353,0.023774119178162276,1293,0.8076202373516552,13875,0.03526845970244859,1429,0.8925671455340413,18568,0.04719746016252723,186,0.11617738913179262,14188,0.03606406531591643,654,0.4084946908182386,2776,0.007056233811459263,468,0.292317301686446,1518,0.003858560131770591,742,0.4634603372891943,4294,0.010914793943229854,1008,0.6296064959400375,6083,0.015462201107747368,1227,0.7663960024984384,8259,0.020993312337479125,110,0.06870705808869457,7491,0.019041155432867916,384,0.23985009369144286,1257,0.003195131808719126,161,0.10056214865708932,432,0.0010980882588438046,409,0.25546533416614614,1689,0.0042932200675629304,561,0.3504059962523423,2188,0.005561613681366306,733,0.45783885071830105,2966,0.007539189295672973,43,0.026858213616489695,2029,0.005157456197208517,164,0.10243597751405371,420,0.0010675858072092545,1,0.0006246096189881324,1,2.541870969545844e-06,165,0.10306058713304185,421,0.0010701276781788004,234,0.146158650843223,551,0.00140057090421976,246,0.15365396627108058,764,0.0019419894207330247
ca,2021,1721,416507,1086,0.63102847181871,951,0.5525857059848925,231942,0.5568741941912141,0.7400000095367432,10.501767055398803,291,0.16908773968622895,36934,0.08867558048244087,1194,0.6937826844857641,9374,0.022506224385184403,982,0.5705984892504358,7477,0.01795167908342477,1264,0.7344567112144103,16851,0.04045790346860917,1507,0.8756536897152818,30857,0.07408518944459516,1545,0.8977338756536897,52407,0.1258250161461872,98,0.05694363742010459,9638,0.023140067273779312,593,0.34456711214410224,2049,0.004919485146708219,349,0.20278907611853572,1312,0.0031500070827140962,657,0.3817547937245787,3361,0.008069492229422314,1095,0.6362579895409646,6458,0.015505141570249719,1246,0.7239976757699013,11284,0.027091981647367272,57,0.03312027890761186,4023,0.009658901290974702,288,0.1673445671121441,805,0.001932740626207963,121,0.07030796048808832,325,0.0007802990105808546,321,0.18651946542707729,1130,0.0027130396367888174,681,0.3957001743172574,2136,0.005128365189540632,895,0.5200464846019756,3782,0.00908027956312859,24,0.013945380592678676,1778,0.004268835817885413,122,0.07088901801278326,284,0.0006818612892460391,26,0.015107495642068565,67,0.00016086164218128386,128,0.07437536316095293,351,0.0008427229314273229,289,0.16792562463683905,614,0.0014741648999896761,405,0.23532829750145265,1026,0.002463343953402944,6,0.003486345148169669,325,0.0007802990105808546,47,0.027309703660662404,89,0.00021368188289752635,0,0.0,0,0.0,47,0.027309703660662404,89,0.00021368188289752635,96,0.0557815223707147,135,0.0003241242043951242,93,0.054038349796629866,194,0.0004657784863159563
ca,2022,1792,439705,1211,0.67578125,1093,0.6099330357142857,268464,0.6105548037889039,0.5,9.550284590001228,480,0.26785714285714285,66417,0.15104899876053263,1284,0.7165178571428571,12496,0.028419053683719768,1141,0.63671875,11314,0.02573088775428981,1349,0.7527901785714286,23810,0.05414994143800957,1582,0.8828125,36918,0.08396083737960679,1617,0.90234375,51692,0.11756063724542591,233,0.13002232142857142,22554,0.051293480856483324,735,0.41015625,3597,0.008180484643112997,584,0.32589285714285715,3061,0.006961485541442558,797,0.4447544642857143,6658,0.015141970184555554,1171,0.6534598214285714,9717,0.022098907221887402,1305,0.7282366071428571,12262,0.027886878702766627,153,0.08537946428571429,12081,0.02747523908074732,464,0.25892857142857145,1745,0.00396856983659499,275,0.15345982142857142,946,0.002151442444366109,505,0.2818080357142857,2691,0.006120012280961099,787,0.43917410714285715,3720,0.008460217645921697,958,0.5345982142857143,4733,0.010764034977996611,93,0.05189732142857143,5042,0.011466778863101398,214,0.11941964285714286,697,0.0015851536825826405,85,0.04743303571428571,224,0.0005094324603995861,233,0.13002232142857142,921,0.0020945861429822266,364,0.203125,1172,0.002665423408876406,485,0.27064732142857145,1418,0.0032248894144938085,24,0.013392857142857142,867,0.001971776531993041,87,0.048549107142857144,239,0.0005435462412299155,0,0.0,0,0.0,87,0.048549107142857144,239,0.0005435462412299155,122,0.06808035714285714,253,0.0005753857700048897,143,0.07979910714285714,339,0.000770971446765445
ca,2023,1831,451884,1279,0.6985253959584926,1194,0.6521026761332606,294376,0.6514415203901887,0.36500000953674316,9.722918327147946,612,0.3342435827416712,98553,0.21809358153862496,1261,0.6886947023484434,13956,0.03088403218525108,1133,0.618787547788094,12820,0.028370112683786104,1346,0.7351174221736756,26776,0.059254144869037184,1577,0.8612779901693064,37827,0.08370953607563003,1610,0.8793009284543966,46069,0.10194873020509689,354,0.1933369743309667,42254,0.0935062980764975,784,0.4281813216821409,4844,0.010719565198148198,633,0.3457127252867286,4360,0.009648493861256428,838,0.4576734025122884,9204,0.020368059059404624,1172,0.6400873839432004,12185,0.026964884793442567,1286,0.7023484434735118,13287,0.029403563746448202,260,0.14199890770071,26428,0.05848403572598278,532,0.2905516111414528,2666,0.0058997441821352385,356,0.19442927362097215,1665,0.0036845739171999896,560,0.3058438012015292,4331,0.009584318099335227,838,0.4576734025122884,5414,0.011980950863495942,967,0.5281267067176406,6012,0.013304299333457259,168,0.09175314036045877,13144,0.029087110851457453,318,0.1736755871108684,1336,0.002956510962990502,133,0.0726379027853632,469,0.0010378769772773544,325,0.1774986346258875,1805,0.003994387940267856,455,0.2484980884762425,2064,0.0045675438829434105,541,0.2954669579464773,2202,0.004872931991396022,63,0.03440742763517204,3223,0.0071323614024838234,137,0.07482250136537412,424,0.0009382938984341114,0,0.0,0,0.0,137,0.07482250136537412,424,0.0009382938984341114,176,0.0961223375204806,460,0.0010179603615087058,212,0.11578372474057892,595,0.0013167095980384346
